"sample","app_frame_records","app_deadline_misses","all_jank_records","dropped_frame_records","mean_actual_frame_ms","max_actual_frame_ms","actual_durations_ns"
0,21,7,21,0,53.400000,163.560000,"34506041,121237750,24681625,13756959,33965625,152318292,163559250,53197834,64774084,60512750,48870625,28435875,35309334,36341875,45303666,36968166,37092500,35387500,44326667,36724917,14165750"
1,12,4,12,0,43.730000,59.420000,"23202709,39933209,51461125,57087333,59423584,51381000,53810458,41674042,49123792,47368834,35673250,14667875"
2,18,15,18,0,97.270000,205.440000,"13174042,77060209,8825833,34788041,13303709,104467750,96067375,205443625,169666959,140372875,108707042,125290875,120506375,121546125,110423375,104835375,116516958,79826125"
3,26,11,24,0,50.820000,148.390000,"26379792,18362166,11360250,23315042,83413917,148389375,144076709,119159666,127391500,72640583,31214916,32437834,9243166,29969709,40281541,56427042,39117459,45306375,40544500,40732292,40486084,43989208,44850625,32629708,10432125,9240042"
4,19,15,19,0,109.390000,259.960000,"14890750,115780375,81249583,38313167,45844250,37388583,49971000,71321167,23463084,114421750,179401667,140445583,131010000,168287458,259962292,227969667,130209500,130071000,118341250"
5,28,11,28,0,53.660000,126.280000,"28340792,22977542,12852834,63909542,77547125,69289208,104894333,115440750,122651666,126282167,89042667,39484167,52014667,10294917,26730875,41678500,45684083,44804542,40869417,47961500,53309583,46298792,45747917,43723417,48899667,42160334,34038958,5521542"
6,19,14,19,0,86.310000,164.950000,"12438125,50575667,37220250,59438208,70070792,32093459,121891458,113001833,164947000,66835250,108348334,117307083,117399375,121593000,124991792,118339333,111425792,76420458,15578833"
7,27,12,26,0,50.080000,124.390000,"26055459,44106458,27830875,58071000,124385625,122685083,122558292,72036126,97919792,74309459,46332250,28722208,7261875,29497625,27329458,26547334,38539750,41965000,37751417,34248834,52697167,45568208,38885542,47152000,38384625,33159250,8268459"
8,18,16,18,0,83.990000,130.750000,"35127667,61441209,26000291,23681500,20945500,22420667,77149250,130751417,114298000,117631375,76628792,112683666,114236292,110900751,115853584,122078209,115074333,115002167"
9,28,13,28,0,50.810000,100.040000,"35213750,45506250,38137792,83633500,91656917,78342584,100041709,95714584,94513542,94508417,63657958,35210417,35207208,34195500,8590958,30061750,38710667,48580875,43091959,46767375,42938666,43827208,49537333,39396083,39452917,31836250,23522875,10758542"
10,18,15,18,0,98.150000,197.120000,"15530375,81255084,30299667,24225542,29871375,97802084,79124208,197123208,129955625,121226416,83366250,131759584,158761000,157518625,139665542,120731208,111601875,56957416"
11,25,11,24,0,54.720000,137.680000,"48205042,41274625,10814041,75299167,84841958,73987292,104362458,137678750,108727959,74169666,64222417,34401792,10895167,50625750,64266459,70471583,56222542,38499500,43789291,39167333,36602375,33365292,27273125,32692750,6266833"
12,16,15,16,0,84.390000,182.820000,"11649000,45401708,20678292,21053000,18250500,86441625,72198667,182819458,82812291,124587750,121205708,110670876,124296917,122488541,115499167,90164667"
13,28,12,28,0,47.820000,112.610000,"22472625,12243709,12992500,23728000,76940583,111989709,112609125,89517250,86143208,93208458,78720666,41832166,28656834,32634667,22502542,36507250,55532125,34323541,56414833,45535417,50154334,44395333,33460541,33260542,34762959,40620750,20998208,6761292"
14,18,14,17,0,86.540000,142.130000,"13246959,26742750,9681000,24773584,20959750,59969208,105875875,79156042,60973166,109618000,111045958,129413333,140675292,137629166,128522333,124403125,142127792,132889125"
15,27,14,25,0,51.130000,153.810000,"40568250,58133209,6940875,21030792,92260375,129905834,153809958,129040542,71800958,29055083,43495458,32358625,50938041,33001541,17352208,12679500,28322459,49676292,68293292,50996041,34740958,34918875,35303875,49592167,45151708,46986583,14042208"
16,19,15,19,0,92.980000,169.040000,"11392292,67778500,27913375,32902167,33254292,11684542,59303084,138205084,169038667,124798125,124044917,139264208,142173334,123132125,127142417,135804458,120815708,137891125,40125958"
17,28,14,26,0,52.880000,136.240000,"53050376,54655667,26837333,28956291,83848666,136237458,130716292,108752542,102554916,95655083,64213000,41554625,29038917,5177208,15367334,26862542,41002209,48561500,41568584,36947209,37148542,49000084,36236167,52621458,44140791,45988542,31031458,12989166"
18,16,15,16,0,100.540000,186.380000,"24727125,63652500,35423000,18990250,34288625,80265083,126918084,107247251,137505750,184861333,186375666,133905917,139654834,130641417,129251875,74914333"
19,28,16,26,0,53.870000,108.540000,"29761291,24322667,25214250,74409750,81980750,64807333,102390792,84887208,100124500,108536625,100376334,56528834,33016000,3602417,30406916,47086750,48861750,66654667,42438375,46057041,40814792,46533876,45244958,46058375,53257416,58458792,35303584,11131000"
20,23,19,23,0,75.900000,173.600000,"17150416,70482625,57033583,19294708,37879125,37710625,38760500,19148834,33622167,64711333,74803291,67147375,100166208,110671834,126147167,123754083,129664834,149658125,173602375,148445416,36791750,73943625,35118459"
21,27,13,26,0,50.470000,112.460000,"24768667,45103042,14940833,26228458,93120666,110343833,70223542,108693375,107781667,112460000,66962667,34937083,43912833,5740209,28937458,53489417,63675416,46783500,47013667,44225250,47127208,37457875,39575833,22119834,34032875,25028000,8133583"
