"sample","name","cpu_ms"
2,"RenderThread",663.912885
2,"mqt_v_js",286.606946
2,"oelseisfree.app",211.430784
2,"HeapTaskDaemon",68.795627
2,"Jit thread pool",20.862416
2,"HybridData Dest",19.732165
2,"glide-disk-cach",16.356670
2,".0.2.2:8093/...",14.900710
2,"ReferenceQueueD",12.640543
2,"Measurement Wor",12.313079
2,"hwuiTask0",11.749834
2,"binder:28205_3",7.152457
2,"mqt_v_native",4.986629
2,"queued-work-loo",4.387669
2,"Firebase Backgr",1.791001
2,"DefaultDispatch",1.706251
2,"ncFunctionQueue",0.937334
2,"GPU completion",0.866707
2,"hwuiTask1",0.834584
2,"binder:28205_2",0.795499
2,"RSMessageThread",0.771084
2,"HWC release",0.612167
2,"OkHttp TaskRunn",0.612125
2,"CookieMonsterCl",0.491208
2,"ScionFrontendAp",0.435375
2,"FinalizerDaemon",0.232000
2,"binder:28205_1",0.204833
2,"binder:28205_5",0.164918
2,"Firebase Blocki",0.142250
2,"Expo JNI deallo",0.086375
2,"FinalizerWatchd",0.048916
3,"RenderThread",479.935719
3,"mqt_v_js",245.129040
3,"oelseisfree.app",167.821832
3,".0.2.2:8093/...",25.961458
3,"mqt_v_native",9.369208
3,"Measurement Wor",8.311793
3,"Jit thread pool",7.919374
3,"binder:28205_2",7.337541
3,"hwuiTask1",4.196665
3,"Firebase Backgr",3.216583
3,"GPU completion",2.259330
3,"HeapTaskDaemon",1.589416
3,"binder:28205_3",1.532583
3,"queued-work-loo",1.183876
3,"DefaultDispatch",1.145709
3,"hwuiTask0",0.822376
3,"CookieMonsterCl",0.760249
3,"HWC release",0.574330
3,"ScionFrontendAp",0.544250
3,"binder:28205_1",0.517707
3,"OkHttp TaskRunn",0.420585
3,"binder:28205_5",0.346708
3,"Firebase Blocki",0.128791
4,"RenderThread",805.579746
4,"mqt_v_js",280.524131
4,"oelseisfree.app",256.428333
4,"HeapTaskDaemon",67.203042
4,"Jit thread pool",34.963543
4,"hades",25.984624
4,"HybridData Dest",24.485957
4,".0.2.2:8093/...",13.099710
4,"glide-disk-cach",12.552582
4,"binder:28205_2",10.723213
4,"ReferenceQueueD",6.296666
4,"Measurement Wor",4.809832
4,"mqt_v_native",3.305204
4,"binder:28205_1",2.758292
4,"ncFunctionQueue",1.638125
4,"queued-work-loo",1.360459
4,"Firebase Backgr",0.956376
4,"hwuiTask0",0.840458
4,"GPU completion",0.743374
4,"hwuiTask1",0.696751
4,"DefaultDispatch",0.676750
