"sample","app_frame_records","app_deadline_misses","all_jank_records","dropped_frame_records","mean_actual_frame_ms","max_actual_frame_ms","actual_durations_ns"
0,23,22,23,0,87.390000,251.430000,"36786667,233213750,88253209,232428875,251426084,106120792,112062333,60949916,61056667,46273875,62596626,58791833,79463416,49562292,28256959,30186000,49985667,64976917,75881166,50412500,79006583,85351209,66954834"
1,10,5,10,0,57.360000,79.520000,"53014375,71942500,79522958,79250917,69178542,46436375,63109000,47185209,39822542,24163917"
2,23,7,22,0,47.420000,183.960000,"45133250,183957958,42463708,15871875,26432250,45295709,44196083,49880833,39961791,49922334,47146709,47465792,44882084,42635542,39220958,36126417,48320334,40755625,48573125,40962625,46913000,50299541,14162292"
3,9,6,9,0,54.030000,106.190000,"35077291,90829917,106192459,46090875,42865125,54800042,55002166,39048667,16369375"
4,23,12,23,0,52.880000,232.730000,"28417250,232727583,70383959,35645875,12780042,14230125,20397250,31335542,44277125,68606791,80357333,69546333,60818667,54931500,57773333,46307708,50182375,39778209,40208416,39963042,35514250,43439917,38664459"
5,10,8,10,0,56.280000,79.190000,"37530333,70897417,79189500,48377750,68315583,54559876,65524333,58729208,54071708,25614000"
6,22,17,21,0,57.650000,99.400000,"24707667,99397208,71762209,69380791,23158375,56187875,57537458,65263042,43282542,49748791,62594834,60589501,59943667,67602458,70602541,79021875,74255291,69605250,63649459,57225708,28080375,14697042"
7,10,7,10,0,50.820000,95.090000,"25023625,46370500,95085542,58069625,53709292,49604000,54476583,74628666,43092459,8143583"
8,25,10,25,0,47.360000,93.330000,"53049500,93332583,13414917,41570792,40653667,26574208,44874416,43124125,55088208,41074958,44464500,44131083,43782709,55377125,49682667,54214584,41104292,38712583,45856041,42124708,71806834,54650666,44386541,19523917,81423375"
9,10,6,10,0,53.580000,106.260000,"29918375,68585542,84027833,66530166,106256958,42189125,64858375,39593333,27293125,6519792"
10,23,7,23,0,45.050000,64.170000,"43625625,47230458,24574542,54475292,58194625,54437125,62452875,50276417,46032666,48853958,57418458,40113792,34720333,53149500,52698000,42425750,37436125,45884875,39299959,64168084,47339167,14152959,17132084"
11,10,7,10,0,56.780000,102.920000,"63597833,102920500,100150792,73665916,61304250,72316500,46632041,14882833,25928792,6412375"
12,26,11,26,0,44.470000,76.580000,"19540625,76575417,21785167,42965791,52206375,28530917,18932833,36002458,54945916,48215541,60615166,52641875,60291042,39946542,52669833,51107875,54848291,47045375,52477542,42399708,44283000,46488292,39042542,39155792,41209667,32396042"
13,10,9,10,0,57.940000,115.040000,"39257000,76750250,115042042,46838583,57909958,55164501,52366209,65843292,59269458,10993459"
14,25,10,25,0,47.780000,115.000000,"34461334,115003334,76616625,20145625,31963500,29889750,40253584,53052458,63793292,61853041,48617625,59347000,47441208,58877458,55399583,39764709,47285625,40055584,43465875,38510750,53520041,60275875,42861709,19987666,11932125"
15,7,6,7,0,74.730000,144.740000,"57377667,114393626,144744875,86528041,66108583,45988667,7992833"
16,25,11,25,0,48.840000,175.040000,"25516625,175037625,67612917,15192458,26932416,24811666,51557667,70889375,75465916,54680834,64139875,50348458,57185584,44629000,41428750,46553833,38947500,42470792,44176833,36975833,36923917,34281875,44209542,38729459,12306166"
17,9,6,9,0,67.880000,112.890000,"63569291,112890875,89689916,69321875,82149917,81645958,57807083,42271958,11583125"
18,20,10,20,0,53.340000,93.320000,"19290917,89165583,11935458,38548917,56004209,77577584,77592500,80249250,93321916,73684875,74850083,73543708,59044833,42469667,48464626,39372958,44018750,43777708,10809834,13036541"
19,11,6,11,0,51.600000,78.950000,"23696000,55373708,64955791,61785209,78953083,61629959,55266375,62294917,43843542,37576667,22230417"
20,24,14,24,0,51.680000,92.490000,"12585084,92487708,50375875,12947250,32638625,13621959,27247417,37018750,47393750,57541875,59518625,51573917,72018833,55126666,76676959,78644583,76269292,66701083,68160250,74884417,78499250,47584250,21747250,28987125"
21,11,9,11,0,58.200000,90.010000,"21687042,57870375,80672209,90013376,82751750,62280250,46768125,54543208,58585875,68533583,16479458"
