"sample","name","cpu_ms"
2,"RenderThread",352.331492
2,"mqt_v_js",307.945628
2,"oelseisfree.app",303.009906
2,"glide-disk-cach",23.434541
2,".0.2.2:8093/...",22.311708
2,"Jit thread pool",21.166291
2,"Measurement Wor",10.754041
2,"HWC release",8.127543
2,"queued-work-loo",6.586791
2,"mqt_v_native",5.256790
2,"binder:24460_1",3.869749
2,"OkHttp TaskRunn",3.224294
2,"Firebase Backgr",2.625126
2,"DefaultDispatch",2.460792
2,"ncFunctionQueue",1.611416
2,"binder:24460_5",1.610124
2,"GPU completion",1.123375
2,"CookieMonsterCl",1.028667
2,"hwuiTask0",0.839417
2,"ScionFrontendAp",0.750916
2,"hwuiTask1",0.696083
2,"Firebase Blocki",0.338333
2,"binder:24460_3",0.337712
2,"binder:24460_2",0.119209
3,"mqt_v_js",194.025796
3,"oelseisfree.app",154.418585
3,"RenderThread",100.310787
3,"HeapTaskDaemon",59.953415
3,".0.2.2:8093/...",30.993827
3,"Measurement Wor",13.575458
3,"Jit thread pool",11.642667
3,"ReferenceQueueD",9.979832
3,"DefaultDispatch",8.774376
3,"HybridData Dest",7.708167
3,"mqt_v_native",6.171623
3,"Firebase Backgr",2.711834
3,"CookieMonsterCl",1.338958
3,"binder:24460_5",1.331874
3,"queued-work-loo",1.030709
3,"OkHttp TaskRunn",0.938626
3,"Expo JNI deallo",0.879125
3,"hwuiTask1",0.793000
3,"GPU completion",0.467626
3,"Firebase Blocki",0.385584
3,"ScionFrontendAp",0.381292
3,"binder:24460_2",0.337749
3,"FinalizerDaemon",0.234292
3,"binder:24460_1",0.204918
3,"binder:24460_3",0.199835
3,"hwuiTask0",0.193459
3,"Profile Saver",0.087041
3,"binder:24460_4",0.055250
4,"RenderThread",423.011087
4,"mqt_v_js",374.846747
4,"oelseisfree.app",329.695032
4,"Jit thread pool",39.322499
4,".0.2.2:8093/...",32.687167
4,"glide-disk-cach",30.969707
4,"Measurement Wor",17.961292
4,"mqt_v_native",13.592206
4,"queued-work-loo",3.409375
4,"DefaultDispatch",3.314958
4,"binder:24460_1",2.782499
4,"Firebase Backgr",2.436502
4,"OkHttp TaskRunn",2.401626
4,"hwuiTask0",1.437459
4,"ncFunctionQueue",1.100542
4,"binder:24460_5",0.929997
4,"GPU completion",0.927499
4,"CookieMonsterCl",0.924293
4,"ScionFrontendAp",0.777000
4,"hwuiTask1",0.601460
4,"Firebase Blocki",0.335333
4,"HWC release",0.223166
4,"binder:24460_3",0.208586
4,"FinalizerWatchd",0.119209
5,"mqt_v_js",230.871200
5,"RenderThread",221.702533
5,"oelseisfree.app",134.460972
5,".0.2.2:8093/...",24.733667
5,"Measurement Wor",13.779998
5,"Jit thread pool",13.093541
5,"mqt_v_native",8.704005
5,"Firebase Backgr",3.542916
5,"queued-work-loo",3.214332
5,"OkHttp TaskRunn",2.025876
5,"DefaultDispatch",1.867042
5,"binder:24460_5",1.671918
5,"ScionFrontendAp",1.248834
5,"hwuiTask1",0.563333
5,"hwuiTask0",0.528582
5,"GPU completion",0.511334
5,"CookieMonsterCl",0.504709
5,"Firebase Blocki",0.199625
5,"binder:24460_3",0.131872
5,"HWC release",0.042333
5,"binder:24460_1",0.018625
6,"RenderThread",458.419753
6,"mqt_v_js",340.563833
6,"oelseisfree.app",282.320707
6,"HeapTaskDaemon",78.678210
6,"Jit thread pool",37.300252
6,"HybridData Dest",24.407417
6,".0.2.2:8093/...",22.964088
6,"hwuiTask1",17.929376
6,"ReferenceQueueD",17.500126
6,"glide-disk-cach",15.386708
6,"Measurement Wor",11.202204
6,"mqt_v_native",5.725958
6,"OkHttp TaskRunn",5.111291
6,"binder:24460_5",3.049668
6,"binder:24460_3",1.996797
6,"ncFunctionQueue",1.993456
6,"Firebase Backgr",1.961793
6,"DefaultDispatch",1.694625
6,"binder:24460_1",1.356544
6,"GPU completion",1.149207
6,"hwuiTask0",1.097667
6,"queued-work-loo",1.077042
6,"CookieMonsterCl",0.580751
6,"FinalizerDaemon",0.436458
6,"ScionFrontendAp",0.340459
6,"Firebase Blocki",0.250250
6,"binder:24460_2",0.242541
6,"HWC release",0.145750
6,"Expo JNI deallo",0.120958
6,"FinalizerWatchd",0.087417
7,"mqt_v_js",192.244170
7,"RenderThread",112.350677
7,"oelseisfree.app",107.591503
7,".0.2.2:8093/...",24.014577
7,"mqt_v_native",17.564923
7,"Jit thread pool",10.947625
7,"Measurement Wor",8.634794
7,"HeapTaskDaemon",5.178000
7,"Firebase Backgr",2.422290
7,"DefaultDispatch",2.060041
7,"queued-work-loo",1.640961
7,"binder:24460_2",1.103121
7,"CookieMonsterCl",0.973792
7,"hwuiTask0",0.650458
