"sample","app_frame_records","app_deadline_misses","all_jank_records","dropped_frame_records","mean_actual_frame_ms","max_actual_frame_ms","actual_durations_ns"
0,22,15,22,0,105.820000,304.860000,"66182000,78531209,128177792,79112751,39689916,250328208,125355291,200337250,276410959,304862042,266806125,94315333,21125291,28009084,47361042,42040250,39404250,42928166,43393166,45214042,64681083,43843458"
1,24,14,24,0,67.330000,183.250000,"48947583,62103125,44829167,59502875,114178417,135387875,123245708,114392209,153221333,183250500,96804583,38903958,19700000,25894458,47322291,45069750,50180292,40246459,47219291,29449833,48368667,52289833,10051333,25362958"
2,15,14,15,0,94.240000,173.830000,"27534959,112399583,89745750,28525959,117952083,126216208,80444375,102754375,69212416,110719500,126698375,173829458,136835667,57298125,53467667"
3,24,13,23,0,72.800000,251.090000,"51035958,70705667,61132625,62362000,82051084,215875459,251093541,152939334,124298958,81788167,9832500,26840250,40172666,67034750,48908875,80520917,44675458,47863916,68495083,48979792,44834500,45086042,14264375,6431209"
4,14,13,14,0,100.490000,231.420000,"27036417,93350875,42364875,42402125,119226417,200767875,125417625,103503042,164246125,231417250,175359667,26758750,41447209,13571458"
5,22,14,22,0,71.580000,161.530000,"42459667,47786750,6354209,21809167,89542834,136485833,124340792,119532167,148999542,161531500,90698166,35055667,67614000,76039458,58368208,78651042,53833791,53029708,50239916,44313208,36176375,31972833"
6,16,15,16,0,100.180000,164.620000,"45599958,105270209,91116792,82306792,37122833,30918083,109076917,112284208,100636751,147231334,125799709,135039917,133874167,164619084,116772875,65278333"
7,24,12,24,0,69.730000,203.430000,"98926792,69622459,25545333,68252459,154373875,170529583,127615125,182207666,203430625,90350959,35513875,23379042,27744167,46558126,58102959,53293959,44454750,35208583,37910959,39990666,19841958,20443917,19537875,20608291"
8,17,12,16,0,124.490000,310.970000,"8620500,186908084,77349458,101173791,68963792,56195583,12489167,23244000,86199166,208203083,226145917,145724292,136375125,200405667,310967292,223778167,43553958"
9,22,14,21,0,66.480000,177.100000,"42597208,36678959,26304001,40643917,100901000,177099375,176012875,154545208,158074209,106348750,24161541,47369250,22849375,62082625,57648792,31549666,36995041,41647084,41294750,30908167,40146583,6647250"
10,13,12,12,0,128.520000,313.890000,"37810625,95891625,21862625,52378958,44211333,52260375,191527916,313861209,307302750,313892834,203096542,28675708,8003292"
11,25,17,25,0,67.240000,153.190000,"48979083,74070458,56585000,62605125,115168917,141961500,124260583,108788583,153189958,142873333,80840042,19656625,32576792,32412667,60235834,48857625,44726542,43206625,46320750,51692958,54214958,39147625,31340292,32046209,35318334"
12,17,16,16,0,89.800000,163.580000,"8422000,86215958,44649250,59481834,31162583,36048167,101085459,160541500,132827333,101117792,113320000,120432333,140272958,163582292,120544000,97565625,9305750"
13,22,18,21,0,68.310000,244.970000,"35937417,42419709,27985291,44431750,103455500,129640167,130989417,123897000,244965583,133246458,9817208,38218083,63401208,66380625,69514917,63908875,50668834,25584042,28536958,44866459,13864917,11072667"
14,18,11,18,0,101.400000,197.640000,"14955042,118897708,43492000,82741875,62248166,62463584,54369833,51241500,137275708,137000917,108739250,188277750,197635834,164999500,183862959,120674208,56260917,40106958"
15,25,21,24,0,69.880000,242.290000,"31136000,57204417,16616084,23093958,81872000,130649708,134440875,150133292,218912125,242290834,100338667,10552416,46892916,77605166,65637584,70992416,48920208,60025792,45097708,18939041,10991333,51824750,36301916,9140459,7453125"
16,14,11,14,0,87.650000,287.650000,"31663125,59994709,27458709,14967375,66650000,61590709,287652917,134311083,183214167,90993167,102713958,73164834,47668041,45117375"
17,25,17,23,0,74.410000,188.240000,"73990083,101342708,73810708,9915459,20520833,93095000,140772000,129604792,130451875,172598958,188237375,96412167,35055417,46901375,52987000,62436292,88904708,76335625,60781125,50149209,56967792,38116458,31475375,20643083,8787791"
18,16,13,16,0,97.040000,189.990000,"22730542,98779000,37863375,67569042,19654125,25453666,151902875,144905375,189986000,76645292,132605334,147151833,146884375,136940584,110857500,42739791"
19,24,13,23,0,64.320000,173.250000,"38812500,69486334,23926459,44901666,124501000,173250750,139162750,141892208,151396667,84656166,35706875,11713750,42536917,57659625,73310333,44032500,47987042,52149834,39637917,46010417,36224209,33676334,16675709,14280042"
20,16,15,16,0,88.990000,176.890000,"16700250,75828541,37968250,40346875,44782458,54665958,119314958,168000417,112709167,101787667,116004292,138287375,176888792,155852333,50282250,14454292"
21,21,15,21,0,77.360000,208.380000,"30122458,54761083,24334583,27532916,105440459,79064041,110498166,105830709,208377916,192574416,94780875,53962834,63938584,113786626,78404833,51597000,66988333,45576667,10457542,71264208,35306208"
