frame,pts_s,green_column_pixels,button_red
0001.png,0.0,1410,230.664
0002.png,1.026433,1410,230.664
0003.png,1.060511,1410,230.624
0004.png,1.118611,1410,230.7408
0005.png,1.135611,1410,230.7408
0006.png,1.202411,1410,180.0784
0007.png,1.247522,1410,180.0688
0008.png,1.2645,1410,180.1328
0009.png,1.310122,1410,180.1456
0010.png,1.340022,1410,180.1456
0011.png,1.372178,1410,180.1456
0012.png,1.403789,1410,180.1456
0013.png,1.4563,1410,180.1456
0014.png,1.4713,1410,180.1456
0015.png,1.510078,1410,180.1456
0016.png,1.532233,1410,180.1456
0017.png,1.572633,1410,180.1456
0018.png,1.588811,1410,180.1456
0019.png,1.652878,1410,180.1456
0020.png,1.674111,1410,180.1456
0021.png,1.736456,1410,180.1456
0022.png,1.768389,1410,180.1456
0023.png,1.786011,1410,180.1456
0024.png,1.837633,1410,180.1456
0025.png,1.854367,1410,180.1456
0026.png,1.901822,1410,180.1456
0027.png,1.918333,1410,180.1456
0028.png,2.063467,1410,180.1456
0029.png,2.083922,1410,180.1456
0030.png,2.136611,1410,180.1456
0031.png,2.153722,1410,180.1456
0032.png,2.191544,1410,180.1456
0033.png,2.209389,1410,180.1456
0034.png,2.255244,1410,180.1456
0035.png,2.273889,1410,180.1456
0036.png,2.328644,1410,180.1456
0037.png,2.353911,1410,180.1456
0038.png,2.418011,1410,180.1456
0039.png,2.445289,1410,180.1456
0040.png,2.508811,1410,180.1456
0041.png,2.575422,1410,180.1456
0042.png,2.656911,1410,180.1456
0043.png,2.707422,1410,180.1456
0044.png,2.743011,1410,180.1456
0045.png,2.786467,1410,180.1456
0046.png,2.803722,1410,180.1456
0047.png,2.861256,1410,180.1456
0048.png,2.883456,1410,180.1456
0049.png,2.927344,1410,180.1456
0050.png,2.967644,1410,180.1456
0051.png,2.9864,1410,180.1456
0052.png,3.036367,1410,180.1456
0053.png,3.055056,1410,180.1456
0054.png,3.093222,1410,180.1456
0055.png,3.110044,1410,180.1456
0056.png,3.158844,1410,180.1456
0057.png,3.175556,1410,180.1456
0058.png,3.216533,1410,180.1456
0059.png,3.2323,1410,180.1456
0060.png,3.279456,1410,180.1456
0061.png,3.297278,1410,180.1456
0062.png,3.335789,1410,180.1456
0063.png,3.423689,1410,230.744
0064.png,3.610511,1410,230.7472
0065.png,3.625344,1410,230.7472
0066.png,3.763689,1410,230.7472
0067.png,3.7796,1410,230.7472
0068.png,3.856167,1410,230.7472
0069.png,3.874689,1410,230.7472
0070.png,3.942233,1410,230.7472
0071.png,3.962144,1410,230.7472
0072.png,4.008422,1410,230.7472
0073.png,4.094422,0,255.0
0074.png,4.142533,0,255.0
0075.png,4.196633,0,255.0
0076.png,4.268411,0,255.0
0077.png,4.293344,0,255.0
0078.png,4.367411,0,255.0
0079.png,4.406178,28,255.0
0080.png,4.427733,0,255.0
0081.png,4.472733,17,255.0
0082.png,4.527733,18,255.0
0083.png,4.546856,22,255.0
0084.png,4.586967,0,255.0
0085.png,4.6201,0,255.0
0086.png,4.668122,0,255.0
0087.png,4.688878,47,255.0
0088.png,4.724689,2,255.0
0089.png,4.756778,2,255.0
0090.png,4.782467,2,255.0
0091.png,4.824633,2,255.0
0092.png,4.842811,2,255.0
0093.png,4.891678,2,255.0
0094.png,4.941911,2,255.0
0095.png,4.959444,0,255.0
0096.png,5.003578,0,255.0
0097.png,5.020089,0,255.0
0098.png,5.053078,0,255.0
0099.png,5.085167,0,255.0
0100.png,5.118067,0,255.0
0101.png,5.1696,0,255.0
0102.png,5.193011,0,255.0
0103.png,5.244933,0,255.0
0104.png,5.270367,0,255.0
0105.png,5.310367,0,255.0
0106.png,5.327511,0,255.0
0107.png,5.368856,0,255.0
0108.png,5.405122,0,255.0
0109.png,5.436844,0,255.0
0110.png,5.468322,0,255.0
0111.png,5.486089,0,255.0
0112.png,5.521011,0,255.0
0113.png,5.553967,0,255.0
0114.png,5.586522,0,255.0
0115.png,5.622144,0,255.0
0116.png,5.676778,0,255.0
0117.png,5.697078,0,255.0
0118.png,5.738856,0,255.0
0119.png,5.789933,0,255.0
0120.png,5.844033,0,255.0
0121.png,5.900778,0,255.0
0122.png,5.922378,0,255.0
0123.png,5.980356,0,255.0
0124.png,6.006467,0,255.0
0125.png,6.056067,0,255.0
0126.png,6.122611,0,255.0
0127.png,6.150433,0,255.0
0128.png,6.189278,0,255.0
0129.png,6.221978,0,255.0
0130.png,6.241444,0,255.0
0131.png,6.291489,0,255.0
0132.png,6.307833,0,255.0
0133.png,6.358356,0,255.0
0134.png,6.379311,0,255.0
0135.png,6.422711,0,255.0
0136.png,6.440489,0,255.0
0137.png,6.485811,0,255.0
0138.png,6.507389,0,255.0
0139.png,6.544167,0,255.0
0140.png,6.584733,0,255.0
0141.png,6.601722,0,255.0
0142.png,6.638544,0,255.0
0143.png,6.662167,0,255.0
0144.png,6.702433,0,255.0
0145.png,6.7183,0,255.0
0146.png,6.752022,0,255.0
0147.png,6.787456,0,255.0
0148.png,6.818167,0,255.0
0149.png,6.854156,0,255.0
0150.png,6.868022,0,255.0
0151.png,6.906778,0,255.0
0152.png,6.924633,0,255.0
0153.png,6.951633,0,255.0
0154.png,6.985344,0,255.0
0155.png,7.001233,0,255.0
0156.png,7.036989,0,255.0
0157.png,7.054067,0,255.0
0158.png,7.085456,0,255.0
0159.png,7.116311,0,255.0
0160.png,7.170989,0,255.0
0161.png,7.187344,0,255.0
0162.png,7.220689,0,255.0
0163.png,7.262411,0,255.0
0164.png,7.289667,0,255.0
0165.png,7.323622,0,255.0
0166.png,7.370533,0,255.0
0167.png,7.403933,0,255.0
0168.png,7.437444,0,255.0
0169.png,7.479089,0,255.0
0170.png,7.4999,0,255.0
0171.png,7.545111,0,255.0
0172.png,7.593556,0,255.0
0173.png,7.639489,0,255.0
0174.png,7.693033,0,255.0
0175.png,7.725556,0,255.0
0176.png,7.774956,0,255.0
0177.png,7.836489,0,255.0
