"sample","app_frame_records","app_deadline_misses","all_jank_records","dropped_frame_records","mean_actual_frame_ms","max_actual_frame_ms","actual_durations_ns"
0,30,16,29,0,61.990000,416.670000,"174504500,416665375,101628125,37635250,63829125,78237250,36472792,63422458,46402375,42119917,30036750,69509333,60550292,45594875,25038333,58890042,18856500,36193834,41995125,52595584,37532542,52276375,48259166,35671625,33511375,44011416,32856709,33748833,25862958,15929708"
1,20,6,20,0,53.590000,105.360000,"10930083,93917375,105355000,6245458,28066584,83574250,50897750,51331292,54468542,55783667,56024792,50017625,56861209,46325209,59088291,48995958,58994291,53764166,53213417,47970334"
2,17,14,17,0,62.940000,194.430000,"9875750,31715625,42146166,22194709,32327500,65411125,44709583,94670208,48686250,64796375,65400458,44083751,71775250,88231791,37607791,111969041,194429583"
3,22,7,22,0,40.820000,75.610000,"43942042,55912209,53608750,38350083,75609167,48680417,38636500,36366666,43401375,32708041,35037667,45070709,34956917,28895959,39411500,30983875,37048667,49860458,39278750,45533750,36738083,8073917"
4,39,5,39,0,36.880000,65.870000,"13725666,26152958,57564166,37592250,31136750,39771000,35908875,20444500,29635042,65873625,34418041,37717625,29307042,33611291,32396375,38651750,45186584,28204125,25118417,27780750,33592125,39170584,38807625,42321667,49364083,41289917,35674084,42753125,27203750,39585500,33308875,32161750,34625792,42285208,39221917,47464000,44888083,36196958,48195917"
5,54,3,54,0,27.270000,81.030000,"14113750,24742625,12994209,18417125,22294458,55654416,30792791,36864417,81030917,27882791,26440792,24778791,24075500,33394583,27522625,20689833,26250583,25788167,29649166,29183042,22448958,26893750,30340833,26240834,28254292,24345125,28867417,27221708,29034375,25591292,25113833,20452041,27082875,19438083,27493625,28932209,27632708,21728916,31612959,29369208,23898583,27010833,37097041,31768375,31031750,20057750,24685250,20832417,23952501,21941000,27813500,30512541,23570333,7512458"
6,22,13,22,0,53.670000,102.620000,"23193125,26097250,57683125,53157250,27301000,45710541,45029000,50743917,49104042,50885958,48428500,53515541,74982291,83151500,64674500,98511917,102624125,57046250,66150291,52700583,15144791,34916625"
7,23,11,23,0,75.050000,333.870000,"333869834,200480959,64521583,86056958,52727667,119117667,40926458,25665833,23743667,45754833,71065584,85884375,50124584,35812875,55946834,50287709,42327625,46420167,60737333,69305458,72642375,46018584,46703083"
8,16,6,16,0,48.430000,77.800000,"11946166,13185708,60255583,29219250,56456042,39147459,39787250,51544750,58490167,60343000,55194792,56652792,63290125,73125292,28423209,77803041"
9,15,11,15,0,56.580000,95.050000,"61695750,69191458,57040250,78935542,95053667,69276667,72468000,41275542,48076583,55382542,38483541,26415625,45993584,48315459,41149041"
10,44,5,44,0,34.170000,94.180000,"56809334,64563542,67573375,86705792,60238833,94180584,20738375,19849584,19939375,19290917,19316209,20735459,22790583,25542375,21008792,20792416,34634875,32199791,26109750,24154625,25482125,25617500,26829459,25502458,33043250,25936209,32128167,25158000,23577250,33675417,34327417,28327583,32877584,27736208,22178542,31976791,32921083,38690834,36775625,40563792,40593167,26809792,39025292,36623875"
