"sample","app_frame_records","app_deadline_misses","all_jank_records","dropped_frame_records","mean_actual_frame_ms","max_actual_frame_ms","actual_durations_ns"
0,35,25,34,0,59.540000,158.770000,"79468001,79714459,65108500,24103792,53564250,60403209,56640041,28654000,40240333,78128292,70084334,54231750,39850792,44221500,59034125,49869750,39474250,50410500,25083000,61921166,7629750,28330333,63699625,70997708,62305125,57197125,87690792,78498041,89346958,116899500,158770916,37648875,76909500,48568833,39304667"
1,20,7,20,0,63.120000,180.240000,"30262666,144026667,180242209,28698917,28378042,94084708,60058125,44836917,60038958,56780541,56855833,55046333,44679292,55371958,55113875,58369791,57204542,40909750,58015833,53499042"
2,14,6,14,0,52.620000,94.670000,"22167083,63669917,28974833,47958625,82624667,29111750,34860375,53153166,57647875,59809583,57710584,55040000,49246250,94671291"
3,21,5,21,0,38.470000,86.870000,"56793750,86867375,29489667,63089625,53008292,42370459,19523958,37703042,29415875,29559250,38698292,34369292,29162834,29792834,32410666,41109083,35042958,36568958,44727625,30040375,8048500"
4,46,5,46,0,33.710000,84.080000,"8272584,24593959,16559209,34879833,22193875,23297709,36765958,35452875,56783458,67768292,84084584,20267459,31922625,47198083,33236333,40646708,38422542,31198250,36480750,31399875,38655334,39817417,31531084,37062500,34172083,32995208,28471500,27065834,45686000,33417500,24910042,29428375,25277125,25011875,33423833,32036875,31526625,33900458,33265000,32538334,35003917,23097083,25300750,28657333,31678667,35431125"
5,56,3,55,0,27.110000,42.350000,"12120125,13041625,18684041,12957708,30675791,32062625,21881042,30115166,30247875,26224959,29705834,30870916,30605625,30890083,21306584,31349542,29387625,26066334,25576041,24859083,23947834,31733875,27557875,32063209,25581208,20521125,21513417,30312708,30131791,25637625,28758541,21420458,29176750,23979167,33061376,24447333,33034167,31835167,27545791,38761792,28054792,23596292,20124709,29227833,32946083,27643416,38569208,39364917,32618959,42347833,28130083,27058916,29631250,24723917,19061834,5603417"
6,26,13,26,0,45.480000,67.460000,"14696000,42895292,37881166,43130834,41278959,35331708,20098458,27465958,18308500,31838000,40382459,67124083,54700916,46066167,60552583,67457458,60643500,61129458,59833083,53388292,43945000,52785625,56470291,54634458,53311792,37080208"
7,21,7,21,0,56.830000,110.730000,"13974542,66109500,110725084,63560166,61209875,86042375,55377667,32784208,32116959,52158125,57293416,54742625,72412583,67584334,46326042,57708166,53616042,60252209,57607625,43578667,48280584"
8,17,8,17,0,53.700000,98.950000,"26939042,46989375,61463584,36399458,26342208,62721292,29591500,33482625,50617709,60259875,57777416,45947083,53420584,98901542,71536750,51505333,98951500"
9,20,5,20,0,39.220000,66.440000,"53539667,61804167,51047750,42768041,66440208,49376125,46617500,40347417,30376417,35642542,35383916,35003333,37278459,34270542,32706375,33536125,38946916,30263500,23620709,5361125"
