"sample","app_frame_records","app_deadline_misses","all_jank_records","dropped_frame_records","mean_actual_frame_ms","max_actual_frame_ms","actual_durations_ns"
0,39,22,39,0,55.920000,157.950000,"86082834,110861875,56466458,65143500,27794084,20164000,34556458,62918375,41612041,45658333,47389875,64761542,91934084,30800750,50540333,39781834,49085209,34221708,27564042,42520917,38415500,157947375,112673083,129158292,61569583,35471542,45116500,69077708,75432667,60625917,46041833,35202166,42119584,40538416,46239208,54562000,29954041,33565708,37348375"
1,21,6,20,0,55.020000,106.420000,"14516167,92142416,106416208,8203500,18607375,79570458,50328458,44374500,62070625,55476250,58240000,56453875,52478083,54729916,55071792,58430708,59574042,57359792,49569417,58254750,63451459"
2,14,5,14,0,55.660000,123.010000,"5191541,26053667,80258500,123006042,42631125,43350250,55301541,56441333,57145083,60453667,51606751,56614876,25670084,95479917"
3,23,8,23,0,38.850000,66.340000,"30084542,46916208,34453084,58355834,66336125,39105250,43298375,34435083,54772417,42174209,35658125,37316625,43647625,41972250,32537416,35556417,38176958,51989333,37736208,38347250,15387834,20916625,14420167"
4,46,5,46,0,31.100000,98.570000,"27892416,25162250,40638250,45635542,24209208,98572375,39811000,34689417,26652333,37661750,40877001,34008084,35413875,23152500,29556292,25463208,26081917,28745584,22787834,22529041,27313167,31461458,30119250,28143166,26006084,32171292,31818250,28594750,23129583,31641584,32915875,27014250,28226958,23005375,20602833,25188042,25489167,20640292,26560125,30383958,25679583,34220041,31008583,34634208,36136875,29080333"
5,52,2,50,0,28.220000,60.730000,"12030875,11997625,42850209,11274792,16790500,20173834,22145375,36656875,33801625,60733417,38334792,36909583,32940250,37038209,46620625,45426667,28307000,37100125,24470875,32876417,32506584,31008000,23613916,29701416,29172625,23995958,26274709,29380541,28567500,27556583,29578416,22837334,27323875,25853500,25416375,29607625,23679334,26373083,23757667,26664583,24401292,30244541,26129334,28522500,22955833,25184792,27360500,24228209,25309209,26683625,26311291,8938833"
6,20,13,20,0,53.380000,80.830000,"11935084,80834583,51404959,46138125,66748459,71686750,47426833,58252292,52143375,54402417,63675875,72205750,64479959,52347042,60240667,49564125,45147916,49275500,47172292,22468125"
7,22,8,22,0,60.950000,178.340000,"139406834,178343501,42827958,41329459,70009167,31246333,60858875,32284042,33149209,58116375,57278833,50174542,58793208,46103583,52937417,55627334,57345542,39355666,57131500,53299333,59826125,65394875"
8,20,7,20,0,43.880000,68.530000,"13986292,27158000,12429375,28915084,41469833,68530958,33190375,56491083,27250208,35591083,62564417,58553042,50361083,57216583,58331333,56525917,55362292,49920541,26398917,57402125"
9,18,4,18,0,44.280000,74.840000,"48139500,53795583,74844292,74773416,60551375,51612209,38665708,36764000,31759458,46702583,39615625,37372125,35817917,46977833,41740625,38951291,30329166,8578833"
10,42,6,42,0,36.820000,78.620000,"35008042,44454250,41665958,50200833,31415834,50571000,29332584,34382791,24804959,46203333,24301792,27492125,24595625,24770625,26977542,27243208,25073375,24589791,23712333,29179541,31087875,31852083,40295917,42580458,29911750,35274792,25661334,37467375,78621291,24300833,37023917,52494583,26588125,38029334,36596042,44874167,38131500,50555625,62141917,43846125,57919000,35045375"
11,42,5,42,0,34.310000,66.480000,"28211208,25506292,26730334,60534166,23711916,26077501,33859001,33446166,52843125,45058750,30488000,37061250,31318375,43820417,21472917,25668000,28689333,30660000,29515208,30227875,24146500,27688792,38028250,42232833,47881542,31010709,48024958,28293291,46663500,43974208,28455708,28962458,66476042,41707167,36657375,27326959,16197666,32316917,22231208,36405833,29736375,31792042"
12,24,4,24,0,44.660000,93.710000,"44928333,40720750,32736041,18630125,93711792,23069541,44372500,46549292,58730958,49888333,46274333,53011583,48352375,49966375,48305709,51317167,50480417,49499375,45279000,39890250,35034083,42321709,40230125,18451917"
13,22,15,22,0,60.600000,105.620000,"22799042,68773542,104366583,26251000,15235208,90126833,50624083,100297833,92171292,57602292,45344250,36414208,76164583,35378416,51507208,64039250,63230166,99676291,105620959,31855125,64215292,31576750"
14,15,5,15,0,51.640000,93.620000,"28125000,65182708,55697792,22900667,33136833,52888334,51592542,59836250,49668584,58032250,60873875,68421541,29502625,45126917,93624417"
15,20,6,19,0,42.250000,72.560000,"50857959,46715208,58895750,60561250,62215875,33923959,39386000,43726458,36588917,45805542,18142334,31255708,32295541,37792916,44999083,40678417,42751042,72557375,34649208,11166125"
16,53,5,53,0,28.040000,57.400000,"12182959,11699125,44532792,57401167,14694916,17655709,15613833,36624750,39798584,21414917,29123541,31820459,32391625,25579500,27756584,28833000,28230417,26759375,33168125,21981584,22130708,26860959,28889584,32416875,32548708,29985875,32292000,26106417,25374042,27557792,22958125,26387250,27832083,32289417,29628542,26991458,25051334,23286000,31569250,27064083,25820791,24349542,27076666,20457292,27518250,24598083,32635500,29139542,33656875,25365709,29030625,44953084,27000959"
17,43,7,43,0,32.220000,65.360000,"35816375,32262750,45187084,40796667,29237917,43332958,12222292,22275875,12277125,50687791,30914334,35423583,46396666,32343625,31552875,44020625,53470667,33672667,42168750,32210375,56727750,65360458,44608000,27266583,24142250,30722209,37203791,22911041,26817667,25267792,28094875,27991750,27181083,28453042,24017875,20672375,22040917,24023542,31985500,19402458,28083375,28722917,7377791"
