"sample","app_frame_records","app_deadline_misses","all_jank_records","dropped_frame_records","mean_actual_frame_ms","max_actual_frame_ms","actual_durations_ns"
0,46,23,45,0,41.170000,103.070000,"52167417,66515042,60747917,69840751,10423958,9257917,29599458,38508125,20662041,27448375,43452583,36106208,44162542,49067125,24015250,24960125,46082125,25929000,39366375,34940791,36710250,38882917,42837208,46411167,28152375,37560667,46562208,65067000,102124751,83851000,79325042,103067625,73946084,47015375,79138166,42100583,61570459,20461167,24430542,12020750,7750375,11276334,11436167,9763708,8366208,20958375"
1,21,11,21,0,63.190000,106.490000,"106489375,91133041,62772291,35753125,12572083,100774375,18330625,105261583,62450375,96450792,85495708,31031875,42324375,46263542,54937666,55282667,54928250,57921709,53658375,65037041,88169625"
2,15,5,15,0,53.380000,66.140000,"19634416,48913291,51994500,39181125,54269250,57888208,56934834,58319625,52570333,53793125,59972583,57178625,60444958,63440791,66143500"
3,18,5,18,0,51.210000,149.850000,"107218625,149848250,48228042,65114625,52068917,37406834,51074875,41654292,48149042,32458708,44469750,38490875,50957375,33455041,42215291,41065917,31144458,6680834"
4,48,11,48,0,33.070000,58.660000,"13694625,32075125,32575125,26435375,44541459,51273625,42792208,16237417,23358041,44175083,28412542,42107583,53520792,31195375,28985459,24194125,31908375,32831917,50117208,35155667,53481042,33156667,39064125,39186084,33954166,40143334,58655542,27914833,43049125,37122875,34400042,37129708,26929875,31568583,26233625,24656875,27524708,24718709,23198458,30463333,24340083,29306292,25025750,27394792,26436375,23295917,26797417,26552042"
5,57,6,57,0,29.520000,54.390000,"33462583,37793209,54387417,36156584,33006083,53492167,37163166,15221000,34153291,35622542,28782958,34063458,40211208,31152167,33428166,38606167,24197250,31233459,27863834,31221417,24143709,26406542,35257917,23369959,29897833,25454709,24775208,29774125,29695959,22817083,31752375,27192167,40438209,36367083,21954583,22213375,25462625,23530083,23423500,29809500,27369375,28554417,29870125,26220458,26537375,23584667,24478750,21931542,23072292,25212125,22678125,28692667,29126916,22193708,22395083,32004916,23761000"
6,19,16,18,0,56.340000,95.640000,"11442375,29974917,28125250,33644667,22331375,24179917,43813334,79183750,68181709,61034208,80745292,79456791,86947083,82418000,95639626,68562250,77652625,73104334,23959250"
7,21,7,21,0,47.180000,71.220000,"37667833,57898209,71220376,18986667,50292833,19941542,14627000,22439458,39186459,55496959,54519125,51653458,59081208,45096917,57254208,56050750,49931084,57726625,49684167,61259458,60830500"
8,14,8,14,0,59.640000,134.440000,"11771541,8407541,41606500,58789166,65004292,67766708,30634750,45915416,121258000,134437709,51445084,41351292,76908959,79676250"
9,20,5,19,0,41.490000,72.530000,"47693167,72530375,51076375,69933417,64611458,35311959,34133834,37439166,35139875,44277875,40034375,37955209,43427333,24499500,21563042,47197625,36640334,41563250,30032583,14690084"
10,32,7,32,0,42.920000,114.920000,"71616208,114922416,93403500,108274375,51448417,28537208,29617250,35770542,46064917,41331667,34453917,36561333,33152291,37622584,46561709,32442417,35177792,40662709,32634042,32589125,36159291,35159542,51419584,36302458,29792167,37897251,28963209,25968125,25060625,25346208,36744750,21815125"
11,59,4,59,0,27.310000,47.780000,"24428666,20397458,24217834,32424167,25689375,27318042,30869500,29974000,28083583,34049334,27942375,23786625,26940250,22991584,23225375,25385166,30726958,26095250,21843542,31031375,23933458,21473834,30325291,29592667,28198125,21682584,30495875,31676209,25924291,28300958,27766459,30638334,29537791,25745042,21431875,23720417,27320917,32182459,24340042,24272292,30515208,22737084,28413542,28939375,23507916,24411041,22276166,25397083,24426750,25781541,22464250,24095958,30440042,26665875,27508834,35732209,44726792,47778375,19232833"
12,17,14,16,0,58.130000,84.870000,"9118459,47016375,24609791,59965875,35263875,48982084,84871000,80427041,69443709,80076000,73844042,80595958,81050084,54896541,72571458,62432834,23114250"
13,23,7,23,0,50.580000,152.920000,"33835625,136062417,152921709,8630625,17892292,23944416,43869500,15854083,26912625,53988875,46994291,51649875,51330375,55858291,56417125,55554375,51882000,55112709,51219292,46384333,52097333,34782917,40134958"
14,16,9,16,0,61.460000,113.450000,"62805916,113452042,73217167,49528500,16855541,73867541,74457292,47016792,47758708,47357500,40782500,68453834,36043459,68200666,56124917,107424209"
15,19,5,19,0,42.100000,81.140000,"43037833,47087667,53739375,81137542,60912750,35211166,37399292,47533208,40267667,47311375,34698166,38530667,46580167,33405875,41454209,32352375,35696666,37743666,5762459"
16,49,6,49,0,33.560000,64.430000,"20554542,64434083,55508667,38221750,47016875,40344416,49095292,27765125,23635334,52238208,45867000,45555709,40055416,42808125,21874834,32073333,45914542,23904708,25839459,42247375,42052375,37081875,35225666,23587458,24561709,26616250,25275166,31786333,36889625,29105000,28929417,26318583,30620833,23422167,29143583,27816875,30746208,40641334,40268042,27147292,31323083,20648709,27266500,29037000,31322917,20035833,17359250,21131916,44347666"
17,46,5,46,0,30.480000,51.300000,"10791833,30249916,31149209,31144000,26763375,30478416,25773791,25074458,28060041,24447875,26523041,29371625,26377583,21916417,23671667,25004625,24726958,32027500,32048917,30956791,27088083,27351000,19920334,31140916,25120958,28482542,33868792,46972625,31444083,51296125,42715500,48731750,26196166,38681583,38200250,43364750,29791750,46507750,27170334,35175584,27768166,36779083,23974208,22148292,27859708,27552709"
18,22,16,22,0,53.250000,98.420000,"23223458,93340375,98420625,51892292,13537000,7343834,44280500,21978250,38932166,68439042,67030333,69490500,67776750,78223041,57990667,59951125,59999750,67772250,45470125,56805167,46376750,33322834"
19,25,10,25,0,50.410000,115.480000,"47973083,79949833,115478833,22476125,11614958,36024125,43179375,23685750,6360209,22039541,39757333,54081417,59294209,67348333,46520750,50470750,43091917,40488375,49976667,49585208,60480959,95511333,44925583,61410208,88588208"
20,15,7,15,0,55.950000,169.490000,"7738958,38696958,63147250,56050166,12673750,36078375,62726708,33749000,38882541,59588291,62846792,63519208,95194708,38864750,169491501"
21,20,5,20,0,40.370000,62.280000,"44092709,59487750,52610791,62284334,53103375,46540750,39574125,41565125,45997167,31566750,43868500,34348750,29636584,43182166,33967375,35889750,30014000,42765750,30896125,5954208"
22,45,6,45,0,32.310000,55.880000,"12219208,28280500,35120750,44176500,14703417,17174958,16585375,16894959,18248208,17374542,17812042,18115042,22444666,19534209,33094250,26092375,32055459,22852417,23554458,28145084,30320792,32688750,35473417,46387667,29085416,36279000,43212792,37518709,55151459,32142208,37670167,29024417,53257417,33996291,39321292,49852125,36578084,30425000,27782334,55882500,50425875,32592875,38310375,50854500,45346250"
23,49,3,47,0,26.260000,106.370000,"10549125,13602834,106365125,67162625,42160000,23379416,30943459,27832542,30139750,21281417,27039292,28548000,29606125,23285459,23781833,20888042,28377625,26755875,31881625,22024916,22963583,30202708,27371042,27457875,29030750,22247834,27763000,27530000,32756167,28515625,23205375,23603584,24112500,23197584,24580792,25753667,24931042,23590750,21669209,15317500,15090417,18817500,16956584,16660250,15335250,15701042,16005959,16783250,14003125"
24,26,13,24,0,45.480000,78.140000,"9483125,14982583,29717042,11542916,18019250,27540250,12667958,29970458,25979875,40941541,54536833,58203541,43267542,73873500,68572083,68870000,78136625,61337042,58426417,59799750,70664041,52832625,59890584,60382917,51166750,41684417"
25,23,8,23,0,57.660000,185.070000,"90270208,163297917,185068958,23594583,34839291,31755333,42087750,35304333,10930000,21361833,40204292,57581167,40555584,56223917,55207000,55613834,56499500,56107625,50166417,64092250,52131208,49151834,54063667"
26,17,7,17,0,48.330000,93.540000,"22869791,21971917,60308167,24024167,37395042,61996875,28542041,35625833,54048334,54254292,60650625,60871125,40612667,67354875,61960209,35519416,93540042"
27,18,7,17,0,52.800000,128.590000,"96087000,105376542,77113584,128591542,78621958,52022209,55721125,50241667,36667167,29624917,37337000,30147500,63552708,45250875,17220708,29987500,9380208,7477292"
28,48,5,48,0,32.360000,64.870000,"43306000,64872041,48398958,35448917,26793750,31640375,24812459,28082209,30737292,22484625,29885375,25828417,31995542,24361750,27859042,23311083,24181958,25496334,31036000,31143917,28888875,28917875,26233375,25381500,31542583,31507583,32515666,31331541,29005083,27662958,37176250,26149625,29440000,30985542,31006958,24061500,28586375,34777541,26146458,41676750,31177000,35216833,53330042,24980458,37877750,42636042,61864292,31295875"
29,47,5,46,0,34.150000,106.760000,"31657625,27808042,17789209,37377875,106759459,45992041,59706375,43908083,35963083,58488208,40104917,38431458,55212417,33464125,32923375,41707959,36408708,43290958,34953333,24101541,26522666,20930917,27423875,26023708,25163333,29596917,28551791,27007292,27845375,23388333,25874500,34930875,36020917,23250041,29263917,26911125,43579625,45983833,22291500,25753791,25106584,29318208,26382792,29056916,29841334,31110084,11770625"
30,24,15,24,0,47.140000,78.520000,"13622750,28539833,48270667,62218500,37970166,13638917,42509500,16338375,21888750,34464042,62930417,60085042,57813167,75542500,78516667,65192417,66822000,71627125,52082750,52088083,46745792,43958334,40843834,37719791"
31,19,12,19,0,68.100000,136.540000,"105278750,136538708,34112500,44925458,97319333,22270083,115785458,74916083,51454834,22750500,49527625,42035000,60794000,61379542,58814792,35567166,126267208,95085792,59048708"
32,16,5,16,0,50.870000,121.500000,"23410667,33388125,66610125,10566917,58460625,36039417,34919500,63456167,57201500,51583333,56029333,63109083,68625916,27732542,41306584,121503542"
33,16,6,16,0,57.720000,85.490000,"51234792,85494125,68310125,62747541,73831042,60437750,32052916,44897667,45240416,52111917,50946958,58533000,74506626,61569500,55935667,45746459"
34,42,7,42,0,36.940000,67.610000,"35647417,45249334,49630541,67606500,62596250,58898126,51225625,35323500,49839583,54910042,32181375,55586458,36383042,35416375,32867250,27969291,25726292,33749667,28938041,34045292,36736166,23210292,22398958,30844084,31962250,60243541,38083333,45627625,33210459,39648208,29873625,33405542,27583500,26768459,28165375,28399834,29451291,27125750,24713542,24740625,28128250,27218084"
35,50,2,50,0,25.630000,57.960000,"20826583,16388041,31547959,35229167,42887833,16192708,17472458,17764208,13872000,16438584,14075625,16639333,15054000,13229500,15739167,15826375,15694000,13786792,15716917,15408000,17383583,18642125,17015667,34169583,26081333,27458333,24006375,26444667,24325125,27971125,25349542,26631042,24122917,21650500,28630708,25357542,29843625,32608125,23949666,29921625,48888958,51631958,51118875,57958542,42611041,30561083,42815625,26544333,29937625,8284375"
