frame,pts_s,green_column_pixels,button_red
0001.png,0.0,1410,230.664
0002.png,0.418611,1410,230.584
0003.png,0.469522,1410,230.6032
0004.png,0.634867,1410,180.1296
0005.png,0.696278,1410,180.12
0006.png,0.724278,1410,180.1504
0007.png,0.771656,1410,180.1504
0008.png,0.823744,1410,180.0992
0009.png,0.844644,1410,180.0992
0010.png,0.908844,1410,180.0992
0011.png,0.955122,1410,180.1328
0012.png,0.9786,1410,180.1328
0013.png,1.047967,1410,180.1328
0014.png,1.131122,1410,180.1328
0015.png,1.173622,1410,180.1328
0016.png,1.252256,1410,180.1328
0017.png,1.281744,1410,180.1328
0018.png,1.370944,1410,180.1328
0019.png,1.4705,1410,180.1328
0020.png,1.531956,1410,180.1328
0021.png,1.570078,1410,180.1328
0022.png,1.649267,1410,180.1328
0023.png,1.670456,1410,180.1328
0024.png,1.715233,1410,180.1328
0025.png,1.793622,1410,180.1328
0026.png,1.812022,1410,180.1328
0027.png,1.851389,1410,180.1328
0028.png,1.873089,1410,180.1328
0029.png,1.930056,1410,180.1328
0030.png,1.980744,1410,180.1328
0031.png,1.998567,1410,180.1328
0032.png,2.042811,1410,180.1328
0033.png,2.225489,1410,180.1328
0034.png,2.2743,1410,180.1328
0035.png,2.326422,1410,180.1328
0036.png,2.426356,1216,85.7632
0037.png,2.510389,98,26.7616
0038.png,2.736378,0,255.0
0039.png,2.815922,0,255.0
0040.png,2.936056,0,255.0
0041.png,2.9595,0,255.0
0042.png,3.043311,0,255.0
0043.png,3.096122,0,255.0
0044.png,3.169467,0,255.0
0045.png,3.190556,0,255.0
0046.png,3.256256,0,255.0
0047.png,3.320233,0,255.0
0048.png,3.343856,0,255.0
0049.png,3.4157,0,255.0
0050.png,3.491767,0,255.0
0051.png,3.610667,0,255.0
0052.png,3.764911,30,255.0
0053.png,3.784978,4,255.0
0054.png,3.828122,4,255.0
0055.png,3.8483,26,255.0
0056.png,3.901322,25,255.0
0057.png,3.9438,6,255.0
0058.png,3.981644,6,255.0
0059.png,3.999656,30,255.0
0060.png,4.0418,24,255.0
0061.png,4.078867,6,255.0
0062.png,4.099478,6,255.0
0063.png,4.143078,6,255.0
0064.png,4.177633,7,255.0
0065.png,4.210533,6,255.0
0066.png,4.248033,6,255.0
0067.png,4.2661,6,255.0
0068.png,4.303533,6,255.0
0069.png,4.3417,12,255.0
0070.png,4.3763,6,255.0
0071.png,4.410767,6,255.0
0072.png,4.443422,0,255.0
0073.png,4.479122,0,255.0
0074.png,4.514822,0,255.0
0075.png,4.532178,0,255.0
0076.png,4.577856,0,255.0
0077.png,4.593989,0,255.0
0078.png,4.626711,0,255.0
0079.png,4.658289,0,255.0
0080.png,4.693633,0,255.0
0081.png,4.726367,0,255.0
0082.png,4.760789,0,255.0
0083.png,4.801322,0,255.0
0084.png,4.834256,0,255.0
0085.png,4.852733,0,255.0
0086.png,4.894967,0,255.0
0087.png,4.911733,0,255.0
0088.png,4.963878,0,255.0
0089.png,5.031744,0,255.0
0090.png,5.0655,0,255.0
0091.png,5.099078,0,255.0
0092.png,5.166589,0,255.0
0093.png,5.203856,0,255.0
0094.png,5.242989,0,255.0
0095.png,5.267233,0,255.0
0096.png,5.334056,0,255.0
0097.png,5.373656,0,255.0
0098.png,5.426533,0,255.0
0099.png,5.499311,0,255.0
0100.png,5.539222,0,255.0
0101.png,5.5637,0,255.0
0102.png,5.597033,0,255.0
0103.png,5.6577,0,255.0
0104.png,5.693511,0,255.0
0105.png,5.725022,0,255.0
0106.png,5.758678,0,255.0
0107.png,5.798956,0,255.0
0108.png,5.825856,0,255.0
0109.png,5.863544,0,255.0
0110.png,5.893211,0,255.0
0111.png,5.926156,0,255.0
0112.png,5.958356,0,255.0
0113.png,5.990444,0,255.0
0114.png,6.024289,0,255.0
0115.png,6.060167,0,255.0
0116.png,6.090611,0,255.0
0117.png,6.125556,0,255.0
0118.png,6.164367,0,255.0
0119.png,6.193744,0,255.0
0120.png,6.2256,0,255.0
0121.png,6.258756,0,255.0
0122.png,6.290656,0,255.0
0123.png,6.325556,0,255.0
0124.png,6.3581,0,255.0
0125.png,6.391478,0,255.0
0126.png,6.425556,0,255.0
0127.png,6.462822,0,255.0
0128.png,6.491389,0,255.0
0129.png,6.5268,0,255.0
0130.png,6.558711,0,255.0
0131.png,6.591067,0,255.0
0132.png,6.629611,0,255.0
0133.png,6.659456,0,255.0
0134.png,6.695622,0,255.0
0135.png,6.732611,0,255.0
0136.png,6.759733,0,255.0
0137.png,6.795333,0,255.0
0138.png,6.830667,0,255.0
0139.png,6.865056,0,255.0
0140.png,6.899833,0,255.0
0141.png,6.928311,0,255.0
0142.png,6.996911,0,255.0
