"sample","app_frame_records","app_deadline_misses","all_jank_records","dropped_frame_records","mean_actual_frame_ms","max_actual_frame_ms","actual_durations_ns"
0,25,17,22,0,55.110000,188.400000,"83346708,43632667,6984792,12340500,19833666,10813291,49239958,26159250,12175167,12322416,94175250,161401000,188396917,39558250,84440876,39658250,65337542,75477792,67354417,70305750,48799750,55145917,54863333,29016333,26917292"
1,16,9,16,0,57.640000,146.600000,"42842750,146597125,58455458,47175833,49462583,69382333,52416292,59208417,47953958,93777959,74387125,85129125,16065917,52348625,15472542,11491583"
2,16,7,15,0,55.200000,111.240000,"17549333,46152500,57533584,64888208,68069500,95726209,52546875,62047875,44897125,42205459,56781917,87433917,111240958,54101166,6786667,15197917"
3,15,6,15,0,58.200000,127.890000,"82795875,63357292,59604834,127889209,89554375,53443583,51232792,52533292,48334583,41199917,45695458,49948792,45372792,24336084,37706250"
4,18,14,18,0,71.820000,149.130000,"30058333,44506791,104774959,149129334,129342000,65476042,51154167,74261833,86880625,76748750,71251584,74846584,86410667,75250250,43001375,45062125,40970375,43601750"
5,17,6,17,0,46.920000,71.580000,"45200709,17623291,53490959,52512167,63845833,55856333,39713583,40468750,49676459,46816625,41748792,52335000,54977625,56659751,50528625,4618167,71576916"
6,17,6,17,0,47.040000,89.620000,"19415000,10503292,28470000,44776500,52139208,51174959,58355209,57722459,49501042,48097958,54644500,70904958,89617000,56567458,44317292,22818583,40651208"
7,13,6,13,0,90.140000,214.970000,"142823333,214968000,166884250,212922000,128359541,49265584,38202791,45847417,46342500,48928792,37867208,32203584,7157167"
8,25,19,25,0,58.300000,85.550000,"60345958,70765166,85546708,53433625,42868583,39166125,47226625,61376417,46600542,59548917,34038583,35829333,52004166,78526375,64282750,77169041,78187334,76365458,74894000,65911291,55207125,54251292,58299917,47845083,37779667"
9,14,9,14,0,71.130000,192.090000,"27222125,58179459,75878541,80821333,47376542,53084625,93183209,51788666,101901625,131721625,192089375,59992875,15166292,7467834"
10,18,6,18,0,39.520000,82.340000,"10174000,25023792,17273500,30413167,47238000,60475083,52679166,60447833,56093167,40182625,49987833,69613042,34376292,82338458,23030458,11518291,23927875,16544083"
11,14,11,14,0,60.300000,103.880000,"59346458,70716875,75260875,103876458,85762792,36267416,51366500,74647292,66162917,60054792,51010792,58711041,41829125,9182666"
12,22,15,22,0,58.860000,125.480000,"25933625,58117042,66552833,81214125,41573083,13534333,35575500,125476333,64211709,109669667,52082167,67300833,75563916,67460667,57477667,59409750,53431500,59076084,48061583,42677083,38128416,52364750"
13,15,7,15,0,58.230000,130.780000,"92328917,49025916,47911834,61562167,24197083,43190750,85102417,67254416,49110083,130777209,112901292,24362166,12046750,63038042,10620750"
14,18,8,18,0,45.940000,87.300000,"11815250,29507084,20819958,39356542,77747583,87304000,46550833,49024125,49376458,56835000,60583292,76858376,63943417,69075334,34355959,15127000,15649792,22964958"
15,13,9,13,0,75.520000,144.700000,"62705916,137470333,76938417,144703167,123436000,77075583,50375000,54730042,35507417,48128750,56951041,60476875,53322209"
