"sample","app_frame_records","app_deadline_misses","all_jank_records","dropped_frame_records","mean_actual_frame_ms","max_actual_frame_ms"
0,25,17,22,0,55.110000,188.400000
1,16,9,16,0,57.640000,146.600000
2,16,7,15,0,55.200000,111.240000
3,15,6,15,0,58.200000,127.890000
4,18,14,18,0,71.820000,149.130000
5,17,6,17,0,46.920000,71.580000
6,17,6,17,0,47.040000,89.620000
7,13,6,13,0,90.140000,214.970000
8,25,19,25,0,58.300000,85.550000
9,14,9,14,0,71.130000,192.090000
10,18,6,18,0,39.520000,82.340000
11,14,11,14,0,60.300000,103.880000
12,22,15,22,0,58.860000,125.480000
13,15,7,15,0,58.230000,130.780000
14,18,8,18,0,45.940000,87.300000
15,13,9,13,0,75.520000,144.700000
