"sample","app_frame_records","app_deadline_misses","all_jank_records","dropped_frame_records","mean_actual_frame_ms","max_actual_frame_ms","actual_durations_ns"
0,31,17,31,0,52.890000,131.330000,"41203376,74819500,26479459,94207417,14366375,30088000,26147542,38605667,45314167,61851208,89728917,11689166,131331167,56583375,58571292,48314500,51852834,72089417,93000542,75408208,76289333,46879167,37235166,36334542,38853208,39960834,53102958,54925791,33348250,38022208,42964833"
1,16,6,16,0,63.040000,137.260000,"36181459,40716500,137259083,41122709,69073166,70744250,59386583,68867625,59103458,98017501,66522542,73005458,61828875,50333666,61870875,14651208"
2,15,6,15,0,71.410000,162.870000,"18771708,13243583,45493083,90551334,79287250,46606416,38153250,58717083,68666459,110587125,93542209,161859209,162868958,75595042,7265709"
3,19,6,19,0,42.020000,64.890000,"59096791,64894167,44955209,45915583,54294000,35658584,35419084,42669667,47148959,31423666,34131833,41990792,32392875,37027000,50621125,39646542,49764166,42466917,8859250"
4,22,14,22,0,63.910000,189.770000,"6504042,11673958,38793875,31360708,30705208,53437333,75354542,7326500,55601625,44293042,43436584,75932584,88768375,106457167,99702875,96918458,80153167,189773041,175776583,45049083,27309583,21659917"
5,16,4,16,0,47.900000,77.620000,"51003041,70156625,47112417,63385000,38070750,49020083,46077291,47984041,57833375,45975125,57471083,43170792,77623875,45649083,11526041,14295625"
6,16,4,15,0,42.780000,78.440000,"22164375,18451583,36170625,46260292,51023625,55164959,51531292,48458458,78442625,66650458,71911292,41628500,53821750,16557417,13423459,12739833"
7,21,6,21,0,38.190000,74.270000,"22917834,29827125,29533000,46045125,74269000,57780666,39585583,40250166,55266250,43453750,37251500,38060583,38057375,37463125,42038084,33210250,33217834,45360875,33679958,18163792,6498708"
8,24,16,23,0,51.800000,92.500000,"9732250,47229625,47588834,60721083,33802958,14735875,26460583,26004625,43341750,52041500,53701250,53696167,53213250,62300709,71938542,62512875,61763708,79074750,82077792,92495292,64880084,52400209,38534542,52994458"
9,17,4,17,0,46.450000,69.780000,"39742417,24112958,28979209,61714625,46493291,38750125,37782208,52982291,63982791,38676625,48886583,50426000,56846292,60158375,69778750,12998083,57411042"
10,17,2,16,0,42.550000,61.400000,"24571250,18239834,32032000,46770375,57942958,57527125,56792542,60214542,60041916,61399584,52711625,47402708,53373625,42743208,22801083,13097625,15632166"
11,20,6,19,0,44.300000,77.590000,"52528458,77588416,49447916,68567125,58395792,57319583,38743583,39552625,37599625,50521458,35610708,39410292,40908292,29958250,49037708,34843291,37690292,35606875,45612667,7067666"
12,22,8,21,0,45.770000,80.640000,"11385167,19540459,18112375,38584250,14847959,59194834,63882500,53536250,80642167,76135792,71789833,56615625,65490000,54645333,46246917,35879000,41315083,44790083,46610542,39662458,35214000,32869208"
13,16,5,16,0,50.950000,77.920000,"28016375,21278167,31887459,50457167,77921833,69290125,67410209,55993708,53866083,64840708,63536916,66846417,67062542,67107083,13849209,15861500"
14,18,5,17,0,39.590000,63.410000,"49006792,63408333,21479250,38864209,50621375,48916917,46781958,55388875,50141500,35584042,45769583,40194250,49783250,42552125,22042959,10590625,11998917,29485417"
15,17,8,16,0,50.740000,105.380000,"12190792,25834709,50607459,57256750,75542875,44125334,35505167,50699917,39992416,44777125,53543625,105384208,67271625,86854084,64945875,41676708,6302459"
