"name","ts","dur","tid","thread_name","is_main_thread"
"postAndWait",53013045591941,10953708,16838,"oelseisfree.app",1
"DrawFrames 12169240",53013045843233,35159708,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013119590483,659833,16838,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",53013357858066,22466542,16838,"oelseisfree.app",1
"postAndWait",53013419050816,34898333,16838,"oelseisfree.app",1
"DrawFrames 12169368",53013421984691,31953500,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013463767399,2253917,16838,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",53013466030024,2286292,16838,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",53013468325733,951833,16838,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",53013469282983,13797333,16838,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",53013483090733,284250,16838,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",53013485487483,233875,16838,"oelseisfree.app",1
"postAndWait",53013493687025,11535083,16838,"oelseisfree.app",1
"DrawFrames 12169375",53013493698316,56172542,16871,"RenderThread",0
"[ExpoImage] onResourceReady",53013555902733,721417,16838,"oelseisfree.app",1
"[ExpoImage] onResourceReady",53013556767400,449541,16838,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",53013567581066,336750,16838,"oelseisfree.app",1
"postAndWait",53013569783400,11292208,16838,"oelseisfree.app",1
"DrawFrames 12169450",53013569803025,57018375,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013621195483,488125,16838,"oelseisfree.app",1
"postAndWait",53013622216400,6357375,16838,"oelseisfree.app",1
"DrawFrames 12169482",53013626842691,5816375,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013630279066,1838042,16838,"oelseisfree.app",1
"postAndWait",53013632392733,853042,16838,"oelseisfree.app",1
"DrawFrames 12169491",53013632666566,1328000,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013644365358,7227083,16838,"oelseisfree.app",1
"postAndWait",53013651860150,14024083,16838,"oelseisfree.app",1
"DrawFrames 12169501",53013660936233,1916167,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013672335400,1346000,16838,"oelseisfree.app",1
"postAndWait",53013674286900,2621000,16838,"oelseisfree.app",1
"DrawFrames 12169508",53013674526608,1186542,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013678642900,2080333,16838,"oelseisfree.app",1
"postAndWait",53013681075608,3027333,16838,"oelseisfree.app",1
"DrawFrames 12169515",53013681113900,519208,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013693583900,1805625,16838,"oelseisfree.app",1
"postAndWait",53013695677483,13340083,16838,"oelseisfree.app",1
"DrawFrames 12169522",53013697895108,11052042,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013711629441,1032709,16838,"oelseisfree.app",1
"postAndWait",53013712897900,3366041,16838,"oelseisfree.app",1
"DrawFrames 12169529",53013715173316,564375,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013726171441,2841292,16838,"oelseisfree.app",1
"postAndWait",53013731979483,6664250,16838,"oelseisfree.app",1
"DrawFrames 12169536",53013732282025,6347250,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013745693691,538000,16838,"oelseisfree.app",1
"postAndWait",53013746407025,2343875,16838,"oelseisfree.app",1
"DrawFrames 12169543",53013748197816,543084,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013761968608,563667,16838,"oelseisfree.app",1
"postAndWait",53013762722233,1232458,16838,"oelseisfree.app",1
"DrawFrames 12169550",53013762741858,458292,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013776236858,543042,16838,"oelseisfree.app",1
"postAndWait",53013778272983,540208,16838,"oelseisfree.app",1
"DrawFrames 12169557",53013778291316,516667,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013797008691,709417,16838,"oelseisfree.app",1
"postAndWait",53013798270733,723125,16838,"oelseisfree.app",1
"DrawFrames 12169564",53013798302816,678292,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013809683400,551000,16838,"oelseisfree.app",1
"postAndWait",53013810598608,717125,16838,"oelseisfree.app",1
"DrawFrames 12169571",53013810628025,673708,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013838548066,42183084,16838,"oelseisfree.app",1
"postAndWait",53013898477733,34292417,16838,"oelseisfree.app",1
"DrawFrames 12169578",53013899924358,39457833,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013949220900,1126333,16838,"oelseisfree.app",1
"postAndWait",53013951111483,469458,16838,"oelseisfree.app",1
"DrawFrames 12169585",53013951128066,444417,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013952993483,2391083,16838,"oelseisfree.app",1
"postAndWait",53013955531191,235709,16838,"oelseisfree.app",1
"DrawFrames 12169592",53013955541816,216500,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013960999483,497833,16838,"oelseisfree.app",1
"postAndWait",53013961701275,697666,16838,"oelseisfree.app",1
"DrawFrames 12169599",53013961894691,494292,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53013980578150,313916,16838,"oelseisfree.app",1
"postAndWait",53013981058400,462791,16838,"oelseisfree.app",1
"DrawFrames 12169606",53013981077608,436542,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53014054312775,32849250,16838,"oelseisfree.app",1
"postAndWait",53014097761900,7715250,16838,"oelseisfree.app",1
"DrawFrames 12169634",53014099558566,27004000,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53014114466191,1239250,16838,"oelseisfree.app",1
"postAndWait",53014119682525,10801541,16838,"oelseisfree.app",1
"DrawFrames 12169641",53014126570566,74964292,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53014132609816,468917,16838,"oelseisfree.app",1
"postAndWait",53014133316316,71160792,16838,"oelseisfree.app",1
"DrawFrames 12169648",53014201548567,86896541,16871,"RenderThread",0
"[ExpoImage] onResourceReady",53014207054025,906958,16838,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",53014212863567,423125,16838,"oelseisfree.app",1
"postAndWait",53014219872775,113377292,16838,"oelseisfree.app",1
"DrawFrames 12169656",53014332351483,47965292,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53014335319900,444542,16838,"oelseisfree.app",1
"postAndWait",53014336254233,44617959,16838,"oelseisfree.app",1
"DrawFrames 12169664",53014380327442,101661458,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53014381863692,459541,16838,"oelseisfree.app",1
"postAndWait",53014382568900,100014292,16838,"oelseisfree.app",1
"DrawFrames 12169680",53014482001817,11654666,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53014484603692,1072083,16838,"oelseisfree.app",1
"postAndWait",53014486496358,7691750,16838,"oelseisfree.app",1
"DrawFrames 12169688",53014493666733,59559792,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53014494966733,300459,16838,"oelseisfree.app",1
"postAndWait",53014495467650,58294083,16838,"oelseisfree.app",1
"DrawFrames 12169696",53014553238358,78416792,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53014554753150,1846208,16838,"oelseisfree.app",1
"postAndWait",53014557141858,80052709,16838,"oelseisfree.app",1
"DrawFrames 12169704",53014631666733,94786000,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53014638135150,669292,16838,"oelseisfree.app",1
"postAndWait",53014639021567,89997708,16838,"oelseisfree.app",1
"DrawFrames 12169712",53014726463567,71881541,16871,"RenderThread",0
"IntBufferBatchMountItem::mountViews",53014729299900,27437958,16838,"oelseisfree.app",1
