"cycle","label","thread","name","offset_ms","ms","depth"
0,"first-second","RenderThread","DrawFrames 12763990",0.000000,25.646000,0
0,"first-second","RenderThread","Drawing  0.00  0.00 720.00 1600.00",0.000000,25.644000,1
0,"first-second","oelseisfree.app","Choreographer#doFrame 12763997",0.000000,29.859000,0
0,"first-second","oelseisfree.app","animation",0.000000,9.389000,1
0,"first-second","RenderThread","flush commands",0.863000,14.651000,2
0,"first-second","RenderThread","auto skgpu::ganesh::OpsTask::onPrepare(GrOpFlushState *)::(anonymous class)::operator()() const",0.875000,0.034000,3
0,"first-second","RenderThread","Clear",0.877000,0.000000,4
0,"first-second","RenderThread","AtlasTextOp",0.878000,0.009000,4
0,"first-second","RenderThread","TextureOp",0.888000,0.002000,4
0,"first-second","RenderThread","TextureOp",0.890000,0.001000,4
0,"first-second","RenderThread","TextureOp",0.891000,0.001000,4
0,"first-second","RenderThread","TextureOp",0.892000,0.001000,4
0,"first-second","RenderThread","TextureOp",0.893000,0.001000,4
0,"first-second","RenderThread","TextureOp",0.894000,0.001000,4
0,"first-second","RenderThread","CircularRRectOp",0.895000,0.002000,4
0,"first-second","RenderThread","CircularRRectOp",0.898000,0.001000,4
0,"first-second","RenderThread","CircularRRectOp",0.899000,0.001000,4
0,"first-second","RenderThread","AtlasTextOp",0.900000,0.001000,4
0,"first-second","RenderThread","FillRectOp",0.902000,0.005000,4
0,"first-second","RenderThread","TextureOp",0.907000,0.001000,4
0,"first-second","RenderThread","TextureOp",0.909000,0.001000,4
0,"first-second","oelseisfree.app","MountItemDispatcher::mountViews mountItems to execute",6.474000,2.677000,2
0,"first-second","oelseisfree.app","IntBufferBatchMountItem::mountViews",6.489000,2.659000,3
0,"first-second","oelseisfree.app","IntBufferBatchMountItem::mountInstructions::UPDATE_PROPS numInstructions=10",6.499000,2.644000,4
0,"first-second","oelseisfree.app","BatchEventDispatchedListeners",9.359000,0.020000,2
0,"first-second","oelseisfree.app","traversal",9.395000,20.458000,1
0,"first-second","oelseisfree.app","draw-VRI[MainActivity]",9.484000,20.360000,2
0,"first-second","oelseisfree.app","Record View#draw()",9.494000,0.195000,3
0,"first-second","oelseisfree.app","postAndWait",9.693000,20.147000,3
0,"first-second","RenderThread","auto skgpu::ganesh::OpsTask::onExecute(GrOpFlushState *)::(anonymous class)::operator()() const",14.692000,0.801000,3
0,"first-second","RenderThread","Clear",14.705000,0.004000,4
0,"first-second","RenderThread","AtlasTextOp",14.710000,0.062000,4
0,"first-second","RenderThread","TextureOp",14.776000,0.025000,4
0,"first-second","RenderThread","TextureOp",14.802000,0.002000,4
0,"first-second","RenderThread","TextureOp",14.810000,0.242000,4
0,"first-second","RenderThread","TextureOp",15.242000,0.192000,4
0,"first-second","RenderThread","TextureOp",15.435000,0.002000,4
0,"first-second","RenderThread","TextureOp",15.438000,0.003000,4
0,"first-second","RenderThread","CircularRRectOp",15.442000,0.012000,4
0,"first-second","RenderThread","CircularRRectOp",15.455000,0.006000,4
0,"first-second","RenderThread","CircularRRectOp",15.461000,0.002000,4
0,"first-second","RenderThread","AtlasTextOp",15.463000,0.006000,4
0,"first-second","RenderThread","FillRectOp",15.471000,0.006000,4
0,"first-second","RenderThread","TextureOp",15.477000,0.010000,4
0,"first-second","RenderThread","TextureOp",15.487000,0.005000,4
0,"first-second","RenderThread","frameTimelineInfo(frameNumber=93, vsyncId=12763990, inputEventId=0x0)",15.530000,0.005000,2
0,"first-second","RenderThread","dispatchSetFrameTimelineInfo",15.531000,0.004000,3
0,"first-second","RenderThread","setFrameTimelineInfo(VRI[MainActivity]#0) frameNumber: 93 vsyncId: 12763990",15.533000,0.001000,4
0,"first-second","RenderThread","eglSwapBuffersWithDamageKHR",15.539000,10.038000,2
0,"first-second","RenderThread","setSurfaceDamage",15.543000,0.001000,3
0,"first-second","RenderThread","queueBuffer",15.866000,0.280000,3
