"cycle","label","name","state","ms"
0,"first-second","RenderThread","R",10.115000
0,"first-second","RenderThread","S",9.298000
0,"first-second","RenderThread","Running",6.972000
0,"first-second","RenderThread","R+",3.916000
0,"first-second","mqt_v_js","S",28.002000
0,"first-second","mqt_v_js","R",2.177000
0,"first-second","mqt_v_js","Running",0.122000
0,"first-second","oelseisfree.app","S",16.433000
0,"first-second","oelseisfree.app","R",9.170000
0,"first-second","oelseisfree.app","Running",4.679000
0,"first-second","oelseisfree.app","R+",0.019000
0,"first200","RenderThread","Running",120.713000
0,"first200","RenderThread","R",52.378000
0,"first200","RenderThread","R+",17.610000
0,"first200","RenderThread","S",9.298000
0,"first200","mqt_v_js","S",189.919000
0,"first200","mqt_v_js","R",9.809000
0,"first200","mqt_v_js","Running",0.272000
0,"first200","oelseisfree.app","S",157.051000
0,"first200","oelseisfree.app","R",23.385000
0,"first200","oelseisfree.app","Running",12.654000
0,"first200","oelseisfree.app","R+",6.910000
0,"ready-request","RenderThread","S",91.979000
0,"ready-request","RenderThread","R+",31.913000
0,"ready-request","RenderThread","Running",19.317000
0,"ready-request","RenderThread","R",0.614000
0,"ready-request","mqt_v_js","R",93.291000
0,"ready-request","mqt_v_js","Running",48.714000
0,"ready-request","mqt_v_js","S",1.271000
0,"ready-request","mqt_v_js","R+",0.545000
0,"ready-request","oelseisfree.app","S",81.036000
0,"ready-request","oelseisfree.app","R",33.282000
0,"ready-request","oelseisfree.app","Running",27.601000
0,"ready-request","oelseisfree.app","R+",1.261000
0,"ready-request","oelseisfree.app","D",0.642000
0,"request-first","RenderThread","Running",21.972000
0,"request-first","RenderThread","R+",15.945000
0,"request-first","RenderThread","S",4.591000
0,"request-first","RenderThread","R",2.937000
0,"request-first","mqt_v_js","S",32.947000
0,"request-first","mqt_v_js","Running",11.619000
0,"request-first","mqt_v_js","R",0.532000
0,"request-first","mqt_v_js","R+",0.347000
0,"request-first","oelseisfree.app","Running",17.568000
0,"request-first","oelseisfree.app","R+",13.917000
0,"request-first","oelseisfree.app","R",9.526000
0,"request-first","oelseisfree.app","S",4.433000
0,"second-third","RenderThread","Running",62.049000
0,"second-third","RenderThread","R",14.679000
0,"second-third","RenderThread","R+",4.820000
0,"second-third","mqt_v_js","S",81.548000
0,"second-third","oelseisfree.app","S",67.877000
0,"second-third","oelseisfree.app","R",10.833000
0,"second-third","oelseisfree.app","Running",2.664000
0,"second-third","oelseisfree.app","R+",0.174000
1,"first-second","RenderThread","Running",6.992000
1,"first-second","RenderThread","R+",3.987000
1,"first-second","RenderThread","S",1.391000
1,"first-second","RenderThread","R",0.007000
1,"first-second","mqt_v_js","R",10.759000
1,"first-second","mqt_v_js","S",1.294000
1,"first-second","mqt_v_js","R+",0.201000
1,"first-second","mqt_v_js","Running",0.124000
1,"first-second","oelseisfree.app","R+",6.759000
1,"first-second","oelseisfree.app","Running",3.900000
1,"first-second","oelseisfree.app","S",1.092000
1,"first-second","oelseisfree.app","R",0.626000
1,"first200","RenderThread","Running",91.373000
1,"first200","RenderThread","S",76.061000
1,"first200","RenderThread","R+",28.270000
1,"first200","RenderThread","R",4.296000
1,"first200","mqt_v_js","S",188.726000
1,"first200","mqt_v_js","R",10.764000
1,"first200","mqt_v_js","Running",0.310000
1,"first200","mqt_v_js","R+",0.201000
1,"first200","oelseisfree.app","S",151.881000
1,"first200","oelseisfree.app","Running",24.016000
1,"first200","oelseisfree.app","R",16.244000
1,"first200","oelseisfree.app","R+",7.859000
1,"ready-request","RenderThread","S",31.678000
1,"ready-request","RenderThread","R+",0.836000
1,"ready-request","RenderThread","Running",0.266000
1,"ready-request","mqt_v_js","Running",19.719000
1,"ready-request","mqt_v_js","R+",6.938000
1,"ready-request","mqt_v_js","R",6.123000
1,"ready-request","oelseisfree.app","S",24.961000
1,"ready-request","oelseisfree.app","R",7.033000
1,"ready-request","oelseisfree.app","Running",0.607000
1,"ready-request","oelseisfree.app","R+",0.180000
1,"request-first","RenderThread","S",12.536000
1,"request-first","RenderThread","Running",0.320000
1,"request-first","RenderThread","R",0.006000
1,"request-first","mqt_v_js","S",7.897000
1,"request-first","mqt_v_js","Running",4.077000
1,"request-first","mqt_v_js","R",0.723000
1,"request-first","mqt_v_js","R+",0.165000
1,"request-first","oelseisfree.app","S",5.847000
1,"request-first","oelseisfree.app","Running",4.182000
1,"request-first","oelseisfree.app","R",2.794000
1,"request-first","oelseisfree.app","R+",0.038000
1,"second-third","RenderThread","S",15.912000
1,"second-third","RenderThread","Running",6.409000
1,"second-third","RenderThread","R+",2.258000
1,"second-third","RenderThread","R",0.353000
1,"second-third","mqt_v_js","S",24.740000
1,"second-third","mqt_v_js","Running",0.186000
1,"second-third","mqt_v_js","R",0.005000
1,"second-third","oelseisfree.app","S",14.492000
1,"second-third","oelseisfree.app","Running",9.149000
1,"second-third","oelseisfree.app","R+",0.838000
1,"second-third","oelseisfree.app","R",0.452000
2,"first-second","RenderThread","S",7.013000
2,"first-second","RenderThread","Running",2.823000
2,"first-second","RenderThread","R",0.270000
2,"first-second","RenderThread","R+",0.135000
2,"first-second","mqt_v_js","S",8.943000
2,"first-second","mqt_v_js","R",0.955000
2,"first-second","mqt_v_js","R+",0.244000
