"id","ts","dur","surface_frame_token","display_frame_token","layer_name","present_type","jank_type","on_time_finish","display_start_ns","display_duration_ns","display_end_ns","display_present_type"
1470,54815968680259,18711916,12763687,12763702,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","SurfaceFlinger CPU Deadline Missed, App Deadline Missed",0,54815991259592,41355042,54816032614634,"Late Present"
2925,54816432509842,165268625,12763878,12763923,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, App Deadline Missed",0,54816607814342,22879209,54816630693551,"Late Present"
4050,54816631350634,18147958,12763885,12763954,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, App Deadline Missed, Buffer Stuffing",0,54816677545342,17555000,54816695100342,"Late Present"
4427,54816668729842,30620917,12763939,12763962,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, App Deadline Missed, Buffer Stuffing",0,54816707723009,24910000,54816732633009,"Late Present"
5588,54816775929717,29465334,12763974,12763989,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, App Deadline Missed",0,54816807825884,17463333,54816825289217,"Late Present"
5772,54816796246842,35588250,12763982,12764004,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, App Deadline Missed, Buffer Stuffing",0,54816841167092,19115458,54816860282550,"Late Present"
6068,54816817444884,30326833,12763990,12764020,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Buffer Stuffing",1,54816874525592,13379292,54816887904884,"On-time Present"
6185,54816825768217,97421125,12763997,12764021,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","SurfaceFlinger CPU Deadline Missed, App Deadline Missed, Buffer Stuffing",0,54816925005551,52684291,54816977689842,"Late Present"
6441,54816856072384,128332708,12764005,12764029,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, App Deadline Missed, Buffer Stuffing",0,54816991295717,11962500,54817003258217,"Early Present"
6878,54816937331301,133253000,12764013,12764037,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, App Deadline Missed, Buffer Stuffing",0,54817078153843,16912750,54817095066593,"Late Present"
7147,54816993651509,90297584,12764022,12764046,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Buffer Stuffing",1,54817107754843,17063542,54817124818385,"On-time Present"
7431,54817066564093,45953083,12764030,12764062,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, Buffer Stuffing",1,54817141378843,12034125,54817153412968,"Early Present"
7741,54817089254885,49347875,12764038,12764063,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, Buffer Stuffing",1,54817159711010,19294125,54817179005135,"Late Present"
8050,54817120734634,47457458,12764047,12764072,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Buffer Stuffing",1,54817191620676,14135125,54817205755801,"On-time Present"
8345,54817149960676,43524958,12764055,12764080,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","SurfaceFlinger CPU Deadline Missed, Buffer Stuffing",1,54817210776134,27315458,54817238091592,"Late Present"
8614,54817176079177,47511166,12764064,12764089,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, Buffer Stuffing",1,54817241630093,24475792,54817266105885,"Late Present"
8918,54817203569969,52237875,12764073,12764098,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, Buffer Stuffing",1,54817276660094,17475083,54817294135177,"Late Present"
9216,54817232105468,50375333,12764081,12764114,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, Buffer Stuffing",1,54817310540343,20523750,54817331064093,"Late Present"
9518,54817264227676,56182167,12764090,12764116,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, Buffer Stuffing",1,54817341318218,18209583,54817359527801,"Late Present"
9813,54817285575051,81795917,12764099,12764124,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, App Deadline Missed, Buffer Stuffing",0,54817374433635,19428666,54817393862301,"Late Present"
10161,54817328444385,94660166,12764107,12764146,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, App Deadline Missed, Buffer Stuffing",0,54817424565718,12818708,54817437384426,"Early Present"
10729,54817408294093,56161833,12764139,12764161,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","SurfaceFlinger CPU Deadline Missed, App Deadline Missed, Buffer Stuffing",0,54817478093009,50263625,54817528356634,"Late Present"
11127,54817441055844,94586583,12764147,12764191,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","App Deadline Missed, Buffer Stuffing",0,54817541291344,14604583,54817555895927,"On-time Present"
12284,54817607968551,31890417,12764220,12764234,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, App Deadline Missed",0,54817641490676,12567792,54817654058468,"Early Present"
14031,54818175318926,81955459,12764459,12764480,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","SurfaceFlinger CPU Deadline Missed, App Deadline Missed",0,54818258007593,51665667,54818309673260,"Late Present"
14121,54818217793551,90845334,12764466,12764481,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","SurfaceFlinger CPU Deadline Missed, App Deadline Missed, Buffer Stuffing",0,54818310761385,36219333,54818346980718,"Late Present"
14831,54818359773218,30897292,12764517,12764531,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, App Deadline Missed",0,54818391252551,17728917,54818408981468,"Late Present"
14883,54818376740718,36867958,12764524,12764546,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","SurfaceFlinger CPU Deadline Missed, App Deadline Missed, Buffer Stuffing",0,54818424826718,67068917,54818491895635,"Late Present"
15158,54818392957260,113234459,12764532,12764554,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, App Deadline Missed, Buffer Stuffing",0,54818508057635,22294459,54818530352094,"Late Present"
15352,54818414354427,104255542,12764539,12764570,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, Buffer Stuffing",1,54818541176802,10607042,54818551783844,"Early Present"
15642,54818493199844,43705583,12764547,12764571,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Buffer Stuffing",1,54818558666219,15986333,54818574652552,"On-time Present"
15919,54818520346552,39045666,12764555,12764587,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#3176","Late Present","Prediction Error, Buffer Stuffing",1,54818593037385,11085292,54818604122677,"Early Present"
