"name","ts","dur","tid","thread_name","is_main_thread"
"postAndWait",54815969875217,8916792,23055,"oelseisfree.app",1
"DrawFrames 12763687",54815970040384,19274458,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54816433043593,69655041,23055,"oelseisfree.app",1
"postAndWait",54816576901176,18204750,23055,"oelseisfree.app",1
"DrawFrames 12763878",54816578101384,22320250,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54816598674926,8265750,23055,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",54816606956009,6429209,23055,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",54816613393593,2529041,23055,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",54816615933176,14606083,23055,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",54816630548134,246375,23055,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",54816632917759,198709,23055,"oelseisfree.app",1
"postAndWait",54816633890093,3013708,23055,"oelseisfree.app",1
"DrawFrames 12763885",54816633983759,4161750,23104,"RenderThread",0
"[ExpoImage] onResourceReady",54816655003843,955666,23055,"oelseisfree.app",1
"[ExpoImage] onResourceReady",54816656549176,10729500,23055,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",54816670321301,412083,23055,"oelseisfree.app",1
"postAndWait",54816671369009,13104917,23055,"oelseisfree.app",1
"DrawFrames 12763939",54816671383884,43195167,23104,"RenderThread",0
"postAndWait",54816773576801,620583,23055,"oelseisfree.app",1
"DrawFrames 12763955",54816773605801,9830833,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54816776375218,8669666,23055,"oelseisfree.app",1
"postAndWait",54816787637176,8446333,23055,"oelseisfree.app",1
"DrawFrames 12763974",54816787648843,19296208,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54816796323301,1370958,23055,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",54816802361593,3764750,23055,"oelseisfree.app",1
"postAndWait",54816807257884,909917,23055,"oelseisfree.app",1
"DrawFrames 12763982",54816807273968,17416375,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54816817009884,355834,23055,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",54816820926093,367333,23055,"oelseisfree.app",1
"postAndWait",54816821577801,4076083,23055,"oelseisfree.app",1
"DrawFrames 12763990",54816824697926,27012667,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54816832553926,2658875,23055,"oelseisfree.app",1
"postAndWait",54816835758134,20146542,23055,"oelseisfree.app",1
"DrawFrames 12763997",54816851723134,71743917,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54816857082218,1507833,23055,"oelseisfree.app",1
"postAndWait",54816858966343,78144458,23055,"oelseisfree.app",1
"DrawFrames 12764005",54816923482134,54566167,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54816938641676,601042,23055,"oelseisfree.app",1
"postAndWait",54816939561551,50136417,23055,"oelseisfree.app",1
"DrawFrames 12764013",54816986310801,76202250,23104,"RenderThread",0
"[ExpoImage] onResourceReady",54816990802468,2832708,23055,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",54816994538718,471208,23055,"oelseisfree.app",1
"postAndWait",54817002306718,63294583,23055,"oelseisfree.app",1
"DrawFrames 12764022",54817062522760,22753875,23104,"RenderThread",0
