"id","ts","dur","surface_frame_token","display_frame_token","layer_name","present_type","jank_type","on_time_finish","display_start_ns","display_duration_ns","display_end_ns","display_present_type"
892,53013043668691,29048583,12169240,12169255,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","SurfaceFlinger CPU Deadline Missed, App Deadline Missed",0,53013074477733,49367083,53013123844816,"Late Present"
2030,53013357579649,106741333,12169368,12169442,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","App Deadline Missed",0,53013491110191,15685917,53013506796108,"On-time Present"
3352,53013483764441,78009208,12169375,12169490,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","App Deadline Missed, Buffer Stuffing",0,53013591606441,15274958,53013606881399,"On-time Present"
4350,53013557630733,83204916,12169450,12169500,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","Prediction Error, App Deadline Missed, Buffer Stuffing",0,53013643421983,22434041,53013665856024,"Late Present"
6644,53014054224316,81903584,12169634,12169655,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","Prediction Error, App Deadline Missed",0,53014141098441,26395792,53014167494233,"Late Present"
6763,53014106408483,94781500,12169641,12169663,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","SurfaceFlinger CPU Deadline Missed, App Deadline Missed, Buffer Stuffing",0,53014212442441,42800542,53014255242983,"Late Present"
6985,53014130645274,158311751,12169648,12169671,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","SurfaceFlinger CPU Deadline Missed, App Deadline Missed, Buffer Stuffing",0,53014293989358,50937708,53014344927066,"Late Present"
7306,53014207970608,172812875,12169656,12169687,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","SurfaceFlinger CPU Deadline Missed, App Deadline Missed, Buffer Stuffing",0,53014393640983,88198792,53014481839775,"Late Present"
7858,53014334174108,90339500,12169664,12169695,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","App Deadline Missed, Buffer Stuffing, SurfaceFlinger Stuffing",0,53014470573816,11266125,53014481839941,"Late Present"
8102,53014380980816,112460959,12169680,12169703,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","SurfaceFlinger CPU Deadline Missed, App Deadline Missed, Buffer Stuffing",0,53014507834400,44245041,53014552079441,"Late Present"
8541,53014482784191,70146500,12169688,12169711,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","SurfaceFlinger CPU Deadline Missed, App Deadline Missed, Buffer Stuffing",0,53014559507858,57359083,53014616866941,"Late Present"
8720,53014494297566,146980667,12169696,12169726,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","SurfaceFlinger CPU Deadline Missed, App Deadline Missed, Buffer Stuffing",0,53014657941691,34755834,53014692697525,"Late Present"
9013,53014553897316,172723667,12169704,12169727,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","SurfaceFlinger CPU Deadline Missed, App Deadline Missed, Buffer Stuffing",0,53014751212608,31042542,53014782255150,"Late Present"
9384,53014637309691,161540417,12169712,12169735,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","SurfaceFlinger CPU Deadline Missed, App Deadline Missed, Buffer Stuffing",0,53014810881233,43625208,53014854506441,"Late Present"
9766,53014729194275,194308250,12169719,12169750,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","Prediction Error, App Deadline Missed, Buffer Stuffing",0,53014924505650,12397584,53014936903234,"Early Present"
10327,53014849658983,124131667,12169728,12169765,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","Prediction Error, App Deadline Missed, Buffer Stuffing",0,53014974624775,18750417,53014993375192,"Late Present"
12270,53015441380400,27072667,12169962,12169976,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","Prediction Error, App Deadline Missed",0,53015474868692,22367541,53015497236233,"Late Present"
12460,53015459312859,20939000,12169969,12169992,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","Buffer Stuffing",1,53015508195109,15037750,53015523232859,"On-time Present"
12889,53015509725609,24656791,12169993,12170007,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","SurfaceFlinger CPU Deadline Missed, App Deadline Missed",0,53015541915442,74688375,53015616603817,"Late Present"
13002,53015524805400,17665209,12170000,12170015,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","Buffer Stuffing, SurfaceFlinger Stuffing",1,53015603078942,13525709,53015616604651,"Late Present"
13327,53015580396859,55897167,12170008,12170023,"TX - com.whoelseisfree.app/com.whoelseisfree.app.MainActivity#2694","Late Present","SurfaceFlinger CPU Deadline Missed, App Deadline Missed, Buffer Stuffing",0,53015645562318,81413000,53015726975318,"Late Present"
