"id","name","ts","dur","track","type"
1517,"SurfaceMountingManager::createViewUnsafe(ViewManagerAdapter_ExpoImage)",53013194473941,2383917,"[NULL]","thread_execution"
1518,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53013196620399,232042,"[NULL]","thread_execution"
1521,"SurfaceMountingManager::createViewUnsafe(ViewManagerAdapter_ExpoImage)",53013197063983,538083,"[NULL]","thread_execution"
1522,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53013197583149,17250,"[NULL]","thread_execution"
1926,"SurfaceMountingManager::createViewUnsafe(ViewManagerAdapter_ExpoImage)",53013309403358,917750,"[NULL]","thread_execution"
1927,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53013310007608,169416,"[NULL]","thread_execution"
2178,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=true,force=false)",53013373103441,1926583,"[NULL]","thread_execution"
2186,"[ExpoImage] load new image",53013374402108,181480917,"[ExpoImage] load new image","atrace_async_slice"
2287,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=true,force=false)",53013377355691,753250,"[NULL]","thread_execution"
2296,"[ExpoImage] load new image",53013378009149,829001293,"[ExpoImage] load new image","atrace_async_slice"
2361,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=true,force=false)",53013379783274,339667,"[NULL]","thread_execution"
2363,"[ExpoImage] load new image",53013380079316,176662667,"[ExpoImage] load new image","atrace_async_slice"
3288,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53013465526858,57208,"[NULL]","thread_execution"
3291,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53013467772649,24334,"[NULL]","thread_execution"
3295,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53013468996566,43958,"[NULL]","thread_execution"
3299,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53013470223358,63458,"[NULL]","thread_execution"
4339,"[ExpoImage] onResourceReady",53013555902733,721417,"[NULL]","thread_execution"
4346,"[ExpoImage] onResourceReady",53013556767400,449541,"[NULL]","thread_execution"
6706,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53014074793483,485417,"[NULL]","thread_execution"
6821,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53014115347983,42875,"[NULL]","thread_execution"
7302,"[ExpoImage] onResourceReady",53014207054025,906958,"[NULL]","thread_execution"
