"id","ts","clock_id","clock_name","clock_value","snapshot_id","machine_id"
0,53012482375107,6,"BOOTTIME",53012482375107,0,0
1,53012482375107,2,"REALTIME_COARSE",1788846112733000165,0,0
2,53012482375107,4,"MONOTONIC_COARSE",53012477560066,0,0
3,53012482375107,1,"REALTIME",1788846112737815248,0,0
4,53012482375107,3,"MONOTONIC",53012482375191,0,0
5,53012482375107,5,"MONOTONIC_RAW",53012482375236,0,0
6,53012482398024,6,"BOOTTIME",53012482398024,1,0
7,53012482398024,2,"REALTIME_COARSE",1788846112733000165,1,0
8,53012482398024,4,"MONOTONIC_COARSE",53012477560066,1,0
9,53012482398024,1,"REALTIME",1788846112737838165,1,0
10,53012482398024,3,"MONOTONIC",53012482398107,1,0
11,53012482398024,5,"MONOTONIC_RAW",53012482398111,1,0

"upid","id","pid","name","start_ts","end_ts","parent_upid","uid","android_appid","android_user_id","cmdline","arg_set_id","machine_id"
330,330,16838,"com.whoelseisfree.app","[NULL]","[NULL]",197,10215,10215,0,"com.whoelseisfree.app",200489,0

"utid","tid","name"
330,16838,"oelseisfree.app"
2974,16839,"[NULL]"
2975,16840,"[NULL]"
2976,16841,"Jit thread pool"
2977,16842,"HeapTaskDaemon"
2978,16843,"ReferenceQueueD"
2979,16844,"FinalizerDaemon"
2980,16845,"FinalizerWatchd"
2981,16846,"binder:16838_1"
2982,16847,"[NULL]"
2983,16849,"binder:16838_3"
2984,16850,"Profile Saver"
2985,16852,"[NULL]"
2986,16853,"[NULL]"
2987,16855,"ScionFrontendAp"
2988,16856,"Firebase Backgr"
2989,16857,"[NULL]"
2990,16858,"DefaultDispatch"
2991,16859,"DefaultDispatch"
2992,16860,"[NULL]"
2993,16861,"Measurement Wor"
2994,16862,"queued-work-loo"
2995,16864,"Firebase Backgr"
2996,16866,"Firebase Backgr"
2997,16870,"Firebase Blocki"
2998,16871,"RenderThread"
2999,16873,"DefaultDispatch"
3000,16874,"[NULL]"
3001,16875,"hwuiTask0"
3002,16876,"hwuiTask1"
3003,16877,"Firebase Backgr"
3004,16878,"HybridData Dest"
3005,16879,"[NULL]"
3006,16880,"mqt_v_js"
3007,16881,"mqt_v_native"
3008,16882,"binder:16838_4"
3009,16885,"hades"
3010,16886,"[NULL]"
3011,16888,"Expo JNI deallo"
3012,16889,"ncFunctionQueue"
3013,16895,"[NULL]"
3014,16896,"[NULL]"
3015,16897,"[NULL]"
3016,16898,"[NULL]"
3017,16899,"DefaultDispatch"
3018,16900,"DefaultDispatch"
3019,16901,"OkHttp Dispatch"
3020,16902,".0.2.2:8093/..."
3021,16903,"FrescoLightWeig"
3022,16904,"[NULL]"
3023,16906,"FrescoDecodeExe"
3024,16907,"OkHttp Dispatch"
3025,16908,"OkHttp Dispatch"
3026,16909,"OkHttp Dispatch"
3027,16911,"FrescoIoBoundEx"
3028,16912,"[NULL]"
3029,16913,"CrAsyncTask #1"
3030,16914,"CrAsyncTask #2"
3031,16915,"CookieMonsterCl"
3032,16916,"[NULL]"
3033,16919,"[NULL]"
3034,16920,".0.2.2:8093/..."
3035,16922,"binder:16838_4"
3036,16923,"[NULL]"
3037,16925,"[NULL]"
3038,16924,"OkHttp TaskRunn"
3039,16927,"OkHttp TaskRunn"
3040,16929,"OkHttp TaskRunn"
3041,16930,"Okio Watchdog"
3042,16931,"OkHttp TaskRunn"
3043,16937,".0.2.2:8093/..."
3044,16938,"[NULL]"
3045,16940,"[NULL]"
3046,16941,"ConnectivityThr"
3047,16942,"glide-disk-cach"
3164,16982,"GPU completion"
3165,16983,"HWC release"
3169,16987,"glide-disk-cach"
3170,16988,"glide-disk-cach"
3172,16990,"glide-disk-cach"
3185,17003,"glide-disk-cach"
3186,17004,"glide-disk-cach"
3187,17005,"RSMessageThread"
3203,17021,"glide-disk-cach"
3213,17031,"RSMessageThread"
3225,17043,"glide-disk-cach"
3227,17045,"RSMessageThread"
3240,17058,"RSMessageThread"
3262,17080,"glide-disk-cach"
3263,17081,"glide-disk-cach"
3264,17082,"RSMessageThread"
