"cycle","label","tid","thread","name","ts","dur","depth","offset_ms","overlap_ms"
0,"opening",16838,"oelseisfree.app","dispatchInputEvent MotionEvent ACTION_DOWN deviceId=-1 source=0x1002 historySize=0",53012986417983,57164166,0,0.000000,0.582000
0,"opening",16838,"oelseisfree.app","deliverInputEvent src=0x1002 eventTimeNano=53012974000000 id=0xf559370f",53012986569191,57011333,1,0.000000,0.581000
0,"opening",16838,"oelseisfree.app","ViewPostImeInputStage id=0xf559370f",53012991073316,52395250,2,0.000000,0.469000
0,"opening",16871,"RenderThread","notifyFramePending",53013039902774,5808709,0,0.000000,2.712000
0,"opening",16838,"oelseisfree.app","ViewRootImpl#setFrameRateCategory high hint, reason touch, -",53013041541399,1926000,3,0.000000,0.467000
0,"opening",16838,"oelseisfree.app","sendMessage(inputChannel=5b44d0d com.whoelseisfree.app/com.whoelseisfree.app.MainActivity, seq=0x1ece, type=FINISHED)",53013043520233,52041,2,0.520000,0.052000
0,"opening",16838,"oelseisfree.app","Choreographer#onVsync 12169240",53013043641649,12625,0,0.642000,0.013000
0,"opening",16838,"oelseisfree.app","Choreographer#doFrame 12169240",53013043668024,12911625,0,0.668000,12.912000
0,"opening",16838,"oelseisfree.app","Choreographer#doFrame - resynced to 12169244 in 30.6ms",53013043776191,12803000,1,0.776000,12.803000
0,"opening",16838,"oelseisfree.app","animation",53013043780941,991417,2,0.781000,0.991000
0,"opening",16838,"oelseisfree.app","Choreographer#scheduleVsyncLocked",53013044317816,94500,3,1.318000,0.095000
0,"opening",16838,"oelseisfree.app","BatchEventDispatchedListeners",53013044459858,309291,3,1.460000,0.309000
0,"opening",16838,"oelseisfree.app","traversal",53013044786983,11788416,2,1.787000,11.788000
0,"opening",16838,"oelseisfree.app","draw-VRI[MainActivity]",53013045169566,11380958,3,2.170000,11.381000
0,"opening",16838,"oelseisfree.app","Record View#draw()",53013045231066,347792,4,2.231000,0.348000
0,"opening",16838,"oelseisfree.app","postAndWait",53013045591941,10953708,4,2.592000,10.954000
0,"opening",16871,"RenderThread","DrawFrames 12169240",53013045843233,35159708,0,2.843000,35.160000
0,"opening",16871,"RenderThread","query",53013045898441,9458,1,2.899000,0.009000
0,"opening",16871,"RenderThread","query",53013045906524,917,2,2.907000,0.001000
0,"opening",16871,"RenderThread","query",53013045908733,1416,1,2.909000,0.001000
0,"opening",16871,"RenderThread","query",53013045909233,458,2,2.909000,0.000000
0,"opening",16871,"RenderThread","syncFrameState",53013045911191,7913875,1,2.911000,7.914000
0,"opening",16871,"RenderThread","prepareTree",53013047257899,6559292,2,4.258000,6.559000
0,"opening",16871,"RenderThread","eglBeginFrame",53013053974066,917,1,10.974000,0.001000
0,"opening",16871,"RenderThread","Drawing  0.00  0.00 720.00 1600.00",53013053979983,27021250,1,10.980000,27.021000
0,"opening",16838,"oelseisfree.app","receiveMessage(inputChannel=5b44d0d com.whoelseisfree.app/com.whoelseisfree.app.MainActivity, seq=0x1ed0, type=MOTION)",53013056608649,667,0,13.609000,0.001000
0,"opening",16880,"mqt_v_js","Lcom/facebook/react/fabric/FabricUIManager$4;",53013056883983,145708,0,13.884000,0.146000
0,"opening",16838,"oelseisfree.app","dispatchInputEvent MotionEvent ACTION_UP deviceId=-1 source=0x1002 historySize=0",53013056955358,1920375,0,13.955000,1.920000
0,"opening",16838,"oelseisfree.app","processInputEventForCompatibility",53013056958733,5583,1,13.959000,0.006000
0,"opening",16838,"oelseisfree.app","deliverInputEvent src=0x1002 eventTimeNano=53013043000000 id=0xcb353720",53013056977399,1897584,1,13.977000,1.898000
0,"opening",16838,"oelseisfree.app","EarlyPostImeInputStage id=0xcb353720",53013056980233,3041,2,13.980000,0.003000
0,"opening",16838,"oelseisfree.app","NativePostImeInputStage id=0xcb353720",53013056984524,834,2,13.985000,0.001000
0,"opening",16838,"oelseisfree.app","ViewPostImeInputStage id=0xcb353720",53013056986608,1808875,2,13.987000,1.809000
0,"opening",16838,"oelseisfree.app","TouchesHelper.sentTouchEventModern(topTouchEnd)",53013057502399,86584,3,14.502000,0.087000
0,"opening",16838,"oelseisfree.app","FabricEventEmitter.receiveEvent('topTouchEnd')",53013057568858,19125,4,14.569000,0.019000
0,"opening",16838,"oelseisfree.app","View#onTouchEvent",53013058742399,1500,3,15.742000,0.002000
0,"opening",16838,"oelseisfree.app","sendMessage(inputChannel=5b44d0d com.whoelseisfree.app/com.whoelseisfree.app.MainActivity, seq=0x1ed0, type=FINISHED)",53013058805483,64958,2,15.806000,0.065000
0,"opening",16838,"oelseisfree.app","Choreographer#onVsync 12169248",53013058899233,5416,0,15.899000,0.005000
0,"opening",16838,"oelseisfree.app","Choreographer#doFrame 12169248",53013058910108,4884041,0,15.910000,4.884000
0,"opening",16838,"oelseisfree.app","animation",53013058913649,4875500,1,15.914000,4.875000
0,"opening",16838,"oelseisfree.app","MountItemDispatcher::mountViews mountItems to execute",53013059193274,282250,2,16.193000,0.282000
0,"opening",16838,"oelseisfree.app","Choreographer#scheduleVsyncLocked",53013059526608,4138041,2,16.527000,4.138000
0,"opening",16871,"RenderThread","flush commands",53013061469483,4376000,2,18.470000,4.376000
0,"opening",16871,"RenderThread","auto skgpu::ganesh::OpsTask::onPrepare(GrOpFlushState *)::(anonymous class)::operator()() const",53013061698983,518541,3,18.699000,0.519000
0,"opening",16871,"RenderThread","Clear",53013061700733,500,4,18.701000,0.001000
0,"opening",16871,"RenderThread","AtlasTextOp",53013061702233,403000,4,18.702000,0.403000
0,"opening",16871,"RenderThread","TextureOp",53013062110108,21041,4,19.110000,0.021000
