"cycle","label","tid","name","state","overlap_ms"
0,"animation-requested→first-ui-motion",16849,"binder:16838_3","S",78.319000
0,"animation-requested→first-ui-motion",16850,"Profile Saver","S",78.319000
0,"animation-requested→first-ui-motion",16855,"ScionFrontendAp","S",78.319000
0,"animation-requested→first-ui-motion",16859,"DefaultDispatch","S",78.319000
0,"animation-requested→first-ui-motion",16861,"Measurement Wor","S",78.319000
0,"animation-requested→first-ui-motion",16862,"queued-work-loo","S",78.319000
0,"animation-requested→first-ui-motion",16864,"Firebase Backgr","S",78.319000
0,"animation-requested→first-ui-motion",16866,"Firebase Backgr","S",78.319000
0,"animation-requested→first-ui-motion",16870,"Firebase Blocki","S",78.319000
0,"animation-requested→first-ui-motion",16875,"hwuiTask0","S",78.319000
0,"animation-requested→first-ui-motion",16882,"binder:16838_4","S",78.319000
0,"animation-requested→first-ui-motion",16889,"ncFunctionQueue","S",78.319000
0,"animation-requested→first-ui-motion",16899,"DefaultDispatch","S",78.319000
0,"animation-requested→first-ui-motion",16902,".0.2.2:8093/...","S",78.319000
0,"animation-requested→first-ui-motion",16915,"CookieMonsterCl","S",78.319000
0,"animation-requested→first-ui-motion",16922,"binder:16838_4","S",78.319000
0,"animation-requested→first-ui-motion",16924,"OkHttp TaskRunn","S",78.319000
0,"animation-requested→first-ui-motion",16927,"OkHttp TaskRunn","S",78.319000
0,"animation-requested→first-ui-motion",16937,".0.2.2:8093/...","S",78.319000
0,"animation-requested→first-ui-motion",16982,"GPU completion","S",78.319000
0,"animation-requested→first-ui-motion",16983,"HWC release","S",78.319000
0,"animation-requested→first-ui-motion",16988,"glide-disk-cach","S",77.620000
0,"animation-requested→first-ui-motion",16881,"mqt_v_native","S",75.896000
0,"animation-requested→first-ui-motion",16871,"RenderThread","S",71.153000
0,"animation-requested→first-ui-motion",16841,"Jit thread pool","S",67.846000
0,"animation-requested→first-ui-motion",16880,"mqt_v_js","S",66.580000
0,"animation-requested→first-ui-motion",16987,"glide-disk-cach","S",55.783000
0,"animation-requested→first-ui-motion",16942,"glide-disk-cach","R+",45.432000
0,"animation-requested→first-ui-motion",16838,"oelseisfree.app","R",33.537000
0,"animation-requested→first-ui-motion",16838,"oelseisfree.app","Running",30.902000
0,"animation-requested→first-ui-motion",16942,"glide-disk-cach","R",9.942000
0,"animation-requested→first-ui-motion",16942,"glide-disk-cach","S",9.675000
0,"animation-requested→first-ui-motion",16942,"glide-disk-cach","Running",9.227000
0,"animation-requested→first-ui-motion",16838,"oelseisfree.app","R+",9.115000
0,"animation-requested→first-ui-motion",16880,"mqt_v_js","Running",9.058000
0,"animation-requested→first-ui-motion",16990,"glide-disk-cach","R+",8.495000
0,"animation-requested→first-ui-motion",16841,"Jit thread pool","R+",4.801000
0,"animation-requested→first-ui-motion",16838,"oelseisfree.app","S",4.764000
0,"animation-requested→first-ui-motion",16841,"Jit thread pool","Running",4.599000
0,"animation-requested→first-ui-motion",16942,"glide-disk-cach","D",4.043000
0,"animation-requested→first-ui-motion",16871,"RenderThread","Running",3.739000
0,"animation-requested→first-ui-motion",16987,"glide-disk-cach","R+",2.651000
0,"animation-requested→first-ui-motion",16880,"mqt_v_js","R+",2.383000
0,"animation-requested→first-ui-motion",16881,"mqt_v_native","Running",2.330000
0,"animation-requested→first-ui-motion",16987,"glide-disk-cach","Running",1.802000
0,"animation-requested→first-ui-motion",16871,"RenderThread","R",1.783000
0,"animation-requested→first-ui-motion",16871,"RenderThread","R+",1.644000
0,"animation-requested→first-ui-motion",16987,"glide-disk-cach","R",1.240000
0,"animation-requested→first-ui-motion",16841,"Jit thread pool","R",1.073000
